severity,sheet,event_id,event_name,discipline,placement,players,issue_type,details
INFO,2008,2008_worlds_prague,2008 IFPA WORLD FOOTBAG CHAMPIONSHIPS,Open Women's Singles Freestyle,9,Gosia Nycz | Lena Scheiwiller,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2008,2008_worlds_prague,2008 IFPA WORLD FOOTBAG CHAMPIONSHIPS,Open Women's Singles Freestyle,11,Fine Schwengbeck | Johanna Nigisch,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2008,2008_worlds_prague,2008 IFPA WORLD FOOTBAG CHAMPIONSHIPS,Open Women's Singles Freestyle,13,Anne Thygesen | Sylwia Kocyck,singles_tie_group,tie_size=2 tie_class=small_tie
HIGH,2009,2009_east_coast,2009 East-Coast Footbag Championships,Doubles,3,Ted Fritsch / Dan Johnson | Ken Somolinos / Dan Johnson,duplicate_player_within_placement,Dan Johnson
INFO,2009,2009_eurochamp_strzelin,11th Annual IFPA European Footbag Championships - Strzelin,Open Singles Freestyle,9,Alexander Trenner | Bartosz Bubula,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2009,2009_eurochamp_strzelin,11th Annual IFPA European Footbag Championships - Strzelin,Open Singles Freestyle,11,Krystof Maler | Krzysztof Sobótka,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2009,2009_eurochamp_strzelin,11th Annual IFPA European Footbag Championships - Strzelin,Open Singles Freestyle,13,Alex Michelewski | Jakub Grabarczyk,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2009,2009_eurochamp_strzelin,11th Annual IFPA European Footbag Championships - Strzelin,Open Singles Freestyle,15,Jan Struz | Patrik Cerny,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2009,2009_eurochamp_strzelin,11th Annual IFPA European Footbag Championships - Strzelin,Open Singles Freestyle,17,Arkadiusz Hutnik | Maciej Niczyporuk | Petr Stejskal | Rafal Kaleta,singles_tie_group,tie_size=4 tie_class=large_group
INFO,2009,2009_eurochamp_strzelin,11th Annual IFPA European Footbag Championships - Strzelin,Open Singles Freestyle,21,Pavel Cerveny | Przemyslaw Pietrzycki,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2009,2009_finnish,Finnish Footbag Championships,Open Singles Net,14,Roman Gornitskiy | Tuukka Antikainen,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2009,2009_footbagjam_lausanne,6# Swiss Footbag Open,Open Singles Routines,9,Jonas Meier | Silvan Lötscher | Silwan Daouk,singles_tie_group,tie_size=3 tie_class=small_tie
INFO,2009,2009_footbagjam_lausanne,6# Swiss Footbag Open,Women's Singles Routines,2,Katharina Probst | Shirine Daouk,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2009,2009_footbagjam_warsaw,6th Annual Wilanow Footbag Open 2009,Open Singles Routines,9,Mateusz Janicki | Michal Ostrowski,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2009,2009_footbagjam_warsaw,6th Annual Wilanow Footbag Open 2009,Open Singles Routines,11,Maciej Niczyporuk | Pawel Nowak,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2009,2009_jfk_jyvaskyla_2,JFK Net Battle,Open Singles Net,13,Mikhail Kayanov | Oxana Prikhodko,singles_tie_group,tie_size=2 tie_class=small_tie
HIGH,2009,2009_rnh_contest,RNH Contest 2009,Initial Seeding Open Doubles Net,1,Miquel Clemente / Nicolas De Zeeuw | Miquel Clemente / Nicolas De Zeeuw II | Clement Gobe / Emilien Groussin | Andreas Wolff / Lisa Uebele | Lino Landau / Marc Brunet | Greg Lima / Hannés Daniel,duplicate_player_within_placement,Miquel Clemente
INFO,2009,2009_todexon_10,Todexon 10,Open Singles Freestyle,9,Dan Ednie | Olaf Piwowar | Tina Aeberli | Wiktor Debski,singles_tie_group,tie_size=4 tie_class=large_group
INFO,2009,2009_todexon_10,Todexon 10,Open Singles Freestyle,13,Dexter | Jindrich Smola | Michal Ostrowski | Tomas Ostrowski,singles_tie_group,tie_size=4 tie_class=large_group
INFO,2009,2009_todexon_10,Todexon 10,Open Singles Freestyle,17,Alexander Trenner | Christopher Larndorfer | Karel Hak | Tomas Solc,singles_tie_group,tie_size=4 tie_class=large_group
INFO,2009,2009_todexon_10,Todexon 10,Open Singles Freestyle,21,Arek Hutnik | Marcin Staron | Pawel Cisek | Slawa Sidorin,singles_tie_group,tie_size=4 tie_class=large_group
INFO,2009,2009_todexon_10,Todexon 10,Open Singles Routines,9,Dan Ednie | Olaf Piwowar | Tina Aeberli | Wiktor Debski,singles_tie_group,tie_size=4 tie_class=large_group
INFO,2009,2009_todexon_10,Todexon 10,Open Singles Routines,13,Jan Struz | Jind Smola (Czech Republic) | Jindrich Smola | Michal Ostrowski | Tomasz Ostrowski (Poland),singles_tie_group,tie_size=5 tie_class=large_group
INFO,2009,2009_todexon_10,Todexon 10,Open Singles Routines,17,Alexander Trenner | Christoph Larndorfer (Austria) | Karel Hák (Czech Republic) | Tomas Solc,singles_tie_group,tie_size=4 tie_class=large_group
INFO,2009,2009_todexon_10,Todexon 10,Open Singles Routines,21,Arek Hutnik | Marcin Staroñ (Poland) | Pawel Cisek | Slava Sidorin,singles_tie_group,tie_size=4 tie_class=large_group
INFO,2009,2009_turku,Turku Open 2009,Open Singles Net,10,Alexander Smirnov | Sergey Shikin | Yulia Tikhomirova,singles_tie_group,tie_size=3 tie_class=small_tie
INFO,2009,2009_usopen_portland,2009 U.S. Open Footbag Net Championships,Open Singles Net: 8 Players,7,EJ Gammage | Kevin Fura,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2009,2009_zocha,Zocha Jam 2009,Singles Net,5,Petr Stejskal | Rafa Andryka,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,2010,2010_again_in_zara,Footbag again in the Zara,Open Net Singles,3,Stoian / Conkata (Animals),singles_tie_group,tie_size=2 tie_class=small_tie
