event_id,Host Club,,,event_source
1435110091,New York Footbag Association,,,
1464967908,New York Footbag Association,,,
1502929111,New York Footbag Association,,,
1524683077,New York Footbag Association,,,
1552865692,New York Footbag Association,,,
1596587110,New York Footbag Association,,,
1625854837,New York Footbag Association,,,
1649177702,New York Footbag Association,,,
1688144863,New York Footbag Association,,,
1721320739,New York Footbag Association,,,
1750356087,New York Footbag Association,,,
1298627369,Nordlicht Footbag Club e.V.,,,
1189535136,Northwest Footbag Alliance,,,
1301958487,Northwest Footbag Alliance,,,
1113344236,NPR,,,
1163624128,NPR,,,
1231286017,NPR,,,
1262288759,NPR,,,
1295842442,NPR,,,
1320803601,NPR,,,
1357101984,NPR,,,
949991621,OOPS,,,
978967004,OOPS,,,
1248864536,Pasikonik BFT,,,
1032472601,Philly Footworks,,,
1058877971,Philly Footworks,,,
1063109533,Philly Footworks,,,
990626988,PSF Polish Footbag Association,,,
1074511718,PSF Polish Footbag Association,,,
1090437706,PSF Polish Footbag Association,,,
1104851808,PSF Polish Footbag Association,,,
1127155729,PSF Polish Footbag Association,,,
1158263300,PSF Polish Footbag Association,,,
1195773772,PSF Polish Footbag Association,,,
1219405634,PSF Polish Footbag Association,,,
1224962900,PSF Polish Footbag Association,,,
1239721441,PSF Polish Footbag Association,,,
1255957016,PSF Polish Footbag Association,,,
1288096032,PSF Polish Footbag Association,,,
1344933824,PSF Polish Footbag Association,,,
1439332196,PSF Polish Footbag Association,,,
1461077179,PSF Polish Footbag Association,,,
1485863923,PSF Polish Footbag Association,,,
1096318324,Rain City Shred,,,
1360305756,Rain City Shred,,,
1192722292,RFA (Russian Footbag Association),,,
1050745947,Rien N'est Hacky - RNH Footbag,,,
1061921260,Rien N'est Hacky - RNH Footbag,,,
1069415266,Rien N'est Hacky - RNH Footbag,,,
1080138513,Rien N'est Hacky - RNH Footbag,,,
1089373321,Rien N'est Hacky - RNH Footbag,,,
1103724325,Rien N'est Hacky - RNH Footbag,,,
1125936037,Rien N'est Hacky - RNH Footbag,,,
1134914723,Rien N'est Hacky - RNH Footbag,,,
1143027870,Rien N'est Hacky - RNH Footbag,,,
1143195910,Rien N'est Hacky - RNH Footbag,,,
1149763452,Rien N'est Hacky - RNH Footbag,,,
1160579826,Rien N'est Hacky - RNH Footbag,,,
1166622628,Rien N'est Hacky - RNH Footbag,,,
1183729267,Rien N'est Hacky - RNH Footbag,,,
1203604560,Rien N'est Hacky - RNH Footbag,,,
1204904987,Rien N'est Hacky - RNH Footbag,,,
1222687523,Rien N'est Hacky - RNH Footbag,,,
1235149093,Rien N'est Hacky - RNH Footbag,,,
1256202918,Rien N'est Hacky - RNH Footbag,,,
1270631935,Rien N'est Hacky - RNH Footbag,,,
1294262550,Rien N'est Hacky - RNH Footbag,,,
1300316952,Rien N'est Hacky - RNH Footbag,,,
1320232300,Rien N'est Hacky - RNH Footbag,,,
1331667371,Rien N'est Hacky - RNH Footbag,,,
1353085933,Rien N'est Hacky - RNH Footbag,,,
1354752474,Rien N'est Hacky - RNH Footbag,,,
1369864929,Rien N'est Hacky - RNH Footbag,,,
1391189882,Rien N'est Hacky - RNH Footbag,,,
1394621886,Rien N'est Hacky - RNH Footbag,,,
1412859519,Rien N'est Hacky - RNH Footbag,,,
1417000778,Rien N'est Hacky - RNH Footbag,,,
1458170459,Rien N'est Hacky - RNH Footbag,,,
1486654923,Rien N'est Hacky - RNH Footbag,,,
1516978874,Rien N'est Hacky - RNH Footbag,,,
1551207285,Rien N'est Hacky - RNH Footbag,,,
1568961264,Rien N'est Hacky - RNH Footbag,,,
1721038326,Rien N'est Hacky - RNH Footbag,,,
1753997172,Rien N'est Hacky - RNH Footbag,,,
1164034575,River City Footbag,,,
1713276656,San Antonio Footbag Club,,,
1138601883,Santa Cruz Footbag Club,,,
1172562114,Santa Cruz Footbag Club,,,
1000071985,SG Frankfurt Footbag e.V.,,,
1028800969,SG Frankfurt Footbag e.V.,,,
1042821772,SG Frankfurt Footbag e.V.,,,
1064330873,SG Frankfurt Footbag e.V.,,,
