event_id,year,Tournament Name,Date,Location,Event Type,Host Club,placements_count,results_lines,event_source
1321368279,2011,Finnish Footbag Championships,"December 17-18, 2011","Helsinki, Finland",net,Suomen Footbag Liitto ry. (Finnish Footbag Association),27,32,
1321869570,2012,Todexon 13,"April 6-8, 2012","Praha, Czech Republic",freestyle,Czech Footbag Association,25,34,
1323272493,2012,33rd IFPA WORLD FOOTBAG CHAMPIONSHIPS,"July 29-August 4, 2012","Warsaw, Poland",worlds,WSF Warsaw Footbag Association,263,372,
1323980691,2012,The 2012 Mud Island Belt Presented by Memphis Footworks,"April 14-15, 2012","Park Memphis, Tennessee, United States",net,Memphis Footworks,21,26,
1325504349,2012,Bembel Cup 2012,"July 21-22, 2012","Frankfurt, Germany",net,SG Frankfurt Footbag e.V.,17,20,
1326451143,2012,Praha Open,"February 18, 2012","Praha, Czech Republic",net,Czech Footbag Association,6,9,
1327693335,2013,Kick Volley 04,"June 15-16, 2013","QC, Canada",net,"Association Qu""b""coise de Footbag",11,16,
1328094862,2012,14th Annual IFPA European Footbag Championships,"July 13-15, 2012","Nrw, Germany",mixed,TSK Aachen e.V.,142,166,
1329044785,2012,JFK March Mayhem 2012,"March 24-25, 2012","Lääni, Finland",net,"Jyv""skyl""n Footbag-klubi, JFK",12,17,
1329132977,2012,Swiss Footbag Championships 2012,"May 19-20, 2012","Zurich, Switzerland",mixed,Sole Rebels Z?rich,61,83,
1330833781,2012,3ra Copa Ciencias-UCV.,"March 24-25, 2012","Caracas, Venezuela",net,X-PRO,29,34,
1330902233,2012,2012 Green Cup Presented by Chaos,"May 26-28, 2012","Brewery Oakland, California, United States",mixed,Chaos Footbag Club,43,58,
1331667371,2012,Paris Net Battle 2,"April 14-15, 2012","Paris, France",net,Rien N'est Hacky - RNH Footbag,35,39,
1333483324,2012,3rd biennial Helsinki Open Footbag Tournament,"May 19-20, 2012","Helsinki, Finland",net,Suomen Footbag Liitto ry. (Finnish Footbag Association),15,20,
