event_id,parsed_total_places,parsed_divisions
1697391704,81,13
1699593640,51,4
1699709080,12,2
1700920831,14,2
1706036811,168,18
1706536250,12,1
1709070838,27,5
1709496969,19,2
1711181388,8,2
1711182054,21,2
1713276656,27,2
1719166875,31,4
1721038326,22,2
1721320739,21,4
1721817655,6,1
1721923932,3,1
1722339396,9,2
1727756195,64,9
1728058298,7,2
1728384115,4,1
1730420667,11,2
1733755410,8,1
1736265216,5,1
1738446800,60,10
1739036206,22,2
1740391168,60,8
1740419380,41,5
1741024635,207,21
1742511366,7,1
1745298933,8,2
1745686591,6,1
1746737817,22,3
1749326277,29,7
1750356087,28,6
1751568193,75,10
1752525121,3,1
1753997172,22,2
1756448770,16,3
1759558836,4,1
1760495074,8,2
1765581778,5,1
1770923654,5,1
2001980001,17,11
2001980002,11,5
2001980003,12,4
2001981001,23,16
2001981003,10,6
2001981004,2,1
2001982001,31,13
2001982003,7,3
2001982004,2,2
2001982005,1,1
2001983001,39,21
2001983002,25,9
2001983005,7,3
2001984001,60,24
2001984003,4,2
2001984004,2,1
2001985001,50,21
2001985004,1,1
2001985005,2,2
2001986001,6,2
2001986003,1,1
2001986004,2,2
2001987001,2,2
2001987002,1,1
2001987003,1,1
2001988001,1,1
2001989001,1,1
2001990001,1,1
2001991001,1,1
2001992001,1,1
2001994001,1,1
2001995001,1,1
2001995002,1,1
857852604,6,2
857874500,34,9
857875120,42,15
857876215,26,6
857876517,84,21
857876870,25,2
857879540,35,7
857880054,8,1
857880964,51,14
857881519,32,9
857881898,39,11
859400929,29,9
859657310,11,3
859787898,37,7
859913311,12,4
859923755,35,6
860356126,50,14
865043841,19,6
873922005,12,3
876331623,31,6
876336655,67,7
876356874,148,19
876590022,16,4
876591529,60,20
877061793,46,9
877848852,21,7
879319107,50,13
881872990,18,6
883135865,14,4
884112176,18,6
886044392,34,12
888294869,42,13
892446131,8,4
899077904,20,7
899722892,18,6
901349509,11,4
901687367,37,12
903468009,23,8
903632480,38,8
909186885,45,17
910551956,105,16
912467534,38,8
913061034,18,3
915561090,226,19
916193231,25,7
916977484,21,7
917278465,35,7
917741782,18,6
919703711,57,9
919885513,14,4
920579000,24,7
924977661,40,11
929217368,41,11
931840905,56,12
933099911,12,4
933115858,10,2
933870505,42,6
937727262,25,5
937854594,16,4
941418343,261,19
942013549,8,1
944242404,8,1
945548940,12,3
946940201,26,9
947026077,29,4
947196813,52,15
948198763,61,14
948943299,6,2
949991621,12,3
952906680,51,10
953918475,39,11
955745735,24,8
955831740,23,5
957240514,19,8
957778745,12,2
959353403,13,4
961053916,23,6
961626997,30,3
967817818,49,15
972427576,62,9
973573676,10,5
974683678,14,1
977260894,8,2
978967004,42,7
979089216,20,6
979334083,109,12
979816633,14,3
980502839,47,12
980969461,203,21
981129410,55,13
981560223,30,5
984694623,23,3
988325277,9,1
988434364,56,12
989875090,10,4
9901155,4,2
9904297,21,15
990512631,24,3
9905304,2,2
