event_id,city_canon,state_canon,country_canon,country_iso3,,,,,notes
999985344,Harjumaa,,Estonia,,,,,,
1079024287,Harjumaa,,Estonia,,,,,,
1109682847,Harjumaa,,Estonia,,,,,,
873922005,Helsinki,,Finland,FIN,,,,,
899722892,Helsinki,,Finland,FIN,,,,,
913061034,Helsinki,,Finland,FIN,,,,,
933870505,Helsinki,,Finland,FIN,,,,,
1005667143,Helsinki,,Finland,FIN,,,,,
1019193491,Helsinki,,Finland,FIN,,,,,
1027925383,Helsinki,,Finland,FIN,,,,,
1094123527,Helsinki,,Finland,FIN,,,,,
1102576153,Helsinki,,Finland,FIN,,,,,
1226938152,Helsinki,,Finland,FIN,,,,,
1244553505,Helsinki,,Finland,FIN,,,,,
1293877677,Helsinki,,Finland,FIN,,,,,
1321368279,Helsinki,,Finland,FIN,,,,,
1333483324,Helsinki,,Finland,FIN,,,,,
1353223688,Helsinki,,Finland,FIN,,,,,
1363551565,Helsinki,,Finland,FIN,,,,,
1374570632,Helsinki,,Finland,FIN,,,,,
1413607134,Helsinki,,Finland,FIN,,,,,
1436878168,Helsinki,,Finland,FIN,,,,,
1509295589,Helsinki,,Finland,FIN,,,,,
1576342966,Helsinki,,Finland,FIN,,,,,
1700920831,Helsinki,,Finland,FIN,,,,,
1736265216,Helsinki,,Finland,FIN,,,,,
1749326277,Helsinki,,Finland,FIN,,,,,
1083699966,Jyvaskyla,,Finland,FIN,,,,,
1142360459,Jyvaskyla,,Finland,FIN,,,,,
1173606489,Jyvaskyla,,Finland,FIN,,,,,
1180373807,Jyvaskyla,,Finland,FIN,,,,,
1202118857,Jyvaskyla,,Finland,FIN,,,,,
1221506867,Jyvaskyla,,Finland,FIN,,,,,
1235504528,Jyvaskyla,,Finland,FIN,,,,,
1242210886,Jyvaskyla,,Finland,FIN,,,,,
1269860787,Jyvaskyla,,Finland,FIN,,,,,
1280002674,Jyvaskyla,,Finland,FIN,,,,,
1298063977,Jyvaskyla,,Finland,FIN,,,,,
1302802291,Jyvaskyla,,Finland,FIN,,,,,
1205552627,Jyvaskyla,,Finland,FIN,,,,,
992517335,Keuruu,,Finland,FIN,,,,,
1132511088,Kuopio,,Finland,FIN,,,,,
1329044785,Lääni,,Finland,FIN,,,,,
1358964427,Lääni,,Finland,FIN,,,,,
1097785506,Naantali,,Finland,FIN,,,,,
1161871029,Naantali,,Finland,FIN,,,,,
1220519679,Naantali,,Finland,FIN,,,,,
1254829577,Naantali,,Finland,FIN,,,,,
1287439208,Naantali,,Finland,FIN,,,,,
961053916,Oulu,,Finland,FIN,,,,,
937854594,Turku,,Finland,FIN,,,,,
955831740,Turku,,Finland,FIN,,,,,
990512631,Turku,,Finland,FIN,,,,,
1001076315,Turku,,Finland,FIN,,,,,
1050067583,Turku,,Finland,FIN,,,,,
1063788560,Turku,,Finland,FIN,,,,,
1080896073,Turku,,Finland,FIN,,,,,
1109802420,Turku,,Finland,FIN,,,,,
1124035486,Turku,,Finland,FIN,,,,,
1141576257,Turku,,Finland,FIN,,,,,
1177615498,Turku,,Finland,FIN,,,,,
1208345952,Turku,,Finland,FIN,,,,,
1240469006,Turku,,Finland,FIN,,,,,
1271275118,Turku,,Finland,FIN,,,,,
1302874713,Turku,,Finland,FIN,,,,,
1335898356,Turku,,Finland,FIN,,,,,
1362915311,Turku,,Finland,FIN,,,,,
1389338303,Turku,,Finland,FIN,,,,,
1431288258,Turku,,Finland,FIN,,,,,
1449217972,Turku,,Finland,FIN,,,,,
1471407009,Turku,,Finland,FIN,,,,,
1509295388,Turku,,Finland,FIN,,,,,
1537521152,Turku,,Finland,FIN,,,,,
1643478787,Uusimaa,,Finland,FIN,,,,,
1745686591,Uusimaa,,Finland,FIN,,,,,
1378821205,Atlantique,,France,FRA,,,,,
1709496969,Atlantique,,France,FRA,,,,,
1148374547,Carnon,,France,FRA,,,,,
1177512537,Carnon,,France,FRA,,,,,
1001076203,Hérault,,France,FRA,,,,,
1305581560,Loire-Atlantique,,France,FRA,,,,,
1347475695,Loire-Atlantique,,France,FRA,,,,,
1029347412,Lyon,,France,FRA,,,,,
1069791565,Lyon,,France,FRA,,,,,
1103297805,Lyon,,France,FRA,,,,,
1212406878,Marseille,,France,FRA,,,,,
1030830356,Montpellier,,France,FRA,,,,,
1064849293,Montpellier,,France,FRA,,,,,
1090569022,Montpellier,,France,FRA,,,,,
1199106237,Montpellier,,France,FRA,,,,,
1277805979,Montpellier,,France,FRA,,,,,
1241011525,Nantes,,France,FRA,,,,,
1335381794,Nantes,,France,FRA,,,,,
1432901754,Nantes,,France,FRA,,,,,
1459426362,Nantes,,France,FRA,,,,,
1497678985,Nantes,,France,FRA,,,,,
1520596747,Nantes,,France,FRA,,,,,
1531311472,Nantes,,France,FRA,,,,,
1547720079,Nantes,,FRANCE,,,,,,
1647508742,Nantes,,France,FRA,,,,,
1741024635,Nantes,,France,FRA,,,,,
948198763,Paris,,France,FRA,,,,,
1050745947,Paris,,France,FRA,,,,,
1061921260,Paris,,France,FRA,,,,,
1069415266,Paris,,France,FRA,,,,,
1080138513,Paris,,France,FRA,,,,,
1089373321,Paris,,France,FRA,,,,,
1103724325,Paris,,France,FRA,,,,,
1113922209,Paris,,France,FRA,,,,,
1125936037,Paris,,France,FRA,,,,,
1143027870,Paris,,France,FRA,,,,,
1149763452,Paris,,France,FRA,,,,,
1160579826,Paris,,France,FRA,,,,,
1166622628,Paris,,France,FRA,,,,,
1183729267,Paris,,France,FRA,,,,,
1203604560,Paris,,France,FRA,,,,,
1204904987,Paris,,France,FRA,,,,,
1222687523,Paris,,France,FRA,,,,,
1235149093,Paris,,France,FRA,,,,,
1256202918,Paris,,France,FRA,,,,,
1270631935,Paris,,France,FRA,,,,,
1294262550,Paris,,France,FRA,,,,,
1300316952,Paris,,France,FRA,,,,,
1320232300,Paris,,France,FRA,,,,,
1331667371,Paris,,France,FRA,,,,,
1353085933,Paris,,France,FRA,,,,,
1354752474,Paris,,France,FRA,,,,,
1369864929,Paris,,France,FRA,,,,,
1391189882,Paris,,France,FRA,,,,,
1394621886,Paris,,France,FRA,,,,,
1412859519,Paris,,France,FRA,,,,,
1417000778,Paris,,France,FRA,,,,,
1458170459,Paris,,France,FRA,,,,,
1551207285,Paris,,France,FRA,,,,,
1568961264,Paris,,France,FRA,,,,,
1721038326,Paris,,France,FRA,,,,,
1753997172,Paris,,France,FRA,,,,,
1143195910,Savoie,,France,FRA,,,,,
1486654923,,,France,FRA,,,,,
1516978874,,,France,FRA,,,,,
1134914723,,,France,FRA,,,,,
1071060801,Aachen,,Germany,DEU,,,,,
1106561176,Aachen,,Germany,DEU,,,,,
1179679872,Aachen,,Germany,DEU,,,,,
917278465,Berlin,,Germany,DEU,,,,,
942013549,Berlin,,Germany,DEU,,,,,
1020262608,Berlin,,Germany,DEU,,,,,
1094071528,Berlin,,Germany,DEU,,,,,
1100728799,Berlin,,Germany,DEU,,,,,
1161167528,Berlin,,Germany,DEU,,,,,
1195677906,Berlin,,Germany,DEU,,,,,
1226679678,Berlin,,Germany,DEU,,,,,
1254662073,Berlin,,Germany,DEU,,,,,
1282224512,Berlin,,Germany,DEU,,,,,
1319622692,Berlin,,Germany,DEU,,,,,
1349043745,Berlin,,Germany,DEU,,,,,
1377192359,Berlin,,Germany,DEU,,,,,
1383076667,Berlin,,Germany,DEU,,,,,
1420195881,Berlin,,Germany,DEU,,,,,
1446571794,Berlin,,Germany,DEU,,,,,
1499025778,Berlin,,Germany,DEU,,,,,
1566532030,Berlin,,Germany,DEU,,,,,
1694868513,Berlin,,Germany,DEU,,,,,
1766004796,Berlin,,Germany,DEU,,,,,
1466942562,Bremen,,Germany,DEU,,,,,
1401113913,Brsg.,,Germany,DEU,,,,,
1079444598,Frankfurt,,Germany,DEU,,,,,
1094201584,Frankfurt,,Germany,DEU,,,,,
1102447093,Frankfurt,,Germany,DEU,,,,,
1105353373,Frankfurt,,Germany,DEU,,,,,
1117746703,Frankfurt,,Germany,DEU,,,,,
1135116604,Frankfurt,,Germany,DEU,,,,,
1225370942,Frankfurt,,Germany,DEU,,,,,
1260368810,Frankfurt,,Germany,DEU,,,,,
1325504349,Frankfurt,,Germany,DEU,,,,,
1357642226,Frankfurt,,Germany,DEU,,,,,
1290861524,Funkfurt,,Germany,DEU,,,,,
1257621700,Hamburg,,Germany,DEU,,,,,
1263589392,Hamburg,,Germany,DEU,,,,,
1000071985,Hessen,,Germany,DEU,,,,,
1028800969,Hessen,,Germany,DEU,,,,,
1042821772,Hessen,,Germany,DEU,,,,,
1064330873,Hessen,,Germany,DEU,,,,,
1393501611,Hessen,,Germany,DEU,,,,,
1418127354,Hessen,,Germany,DEU,,,,,
1444911632,Hessen,,Germany,DEU,,,,,
1453384342,Hessen,,Germany,DEU,,,,,
1460640850,Hessen,,Germany,DEU,,,,,
1485520697,Hessen,,Germany,DEU,,,,,
1526035381,Hessen,,Germany,DEU,,,,,
1557144269,Hessen,,Germany,DEU,,,,,
1677937557,Hessen,,Germany,DEU,,,,,
1706536250,Hessen,,Germany,DEU,,,,,
1740391168,Hessen,,Germany,DEU,,,,,
1298627369,Kiel,,Germany,DEU,,,,,
1271270281,Meer,,Germany,DEU,,,,,
1301243982,Nrw,,Germany,DEU,,,,,
1328094862,Nrw,,Germany,DEU,,,,,
1337617980,Sachsen,,Germany,DEU,,,,,
1050140930,Zeil,,Germany,DEU,,,,,
979816633,Budapest,,Hungary,,,,,,
1041241196,Győr,,Hungary,HUN,,,,,City name had '?' placeholder; corrected to Győr
