event_key,legacy_event_id,year,event_name,orig_city,orig_region,orig_country,new_city,new_region,new_country,changed,rules_applied
2004-open-lyon-france,1069791565,2004,5th Annual Open de France,Lyon,Auvergne-Rhône-Alpes,France,Lyon,Auvergne-Rhône-Alpes,France,no,
2004-open-paris-france,1089373321,2004,6e Open de France de Footbag,Paris,Île-de-France,France,Paris,Île-de-France,France,no,
2004-championships-copenhagen-denmark,1079605499,2004,6th Annual IFPA European Footbag Championships,Copenhagen,Capital Region,Denmark,Copenhagen,Capital Region,Denmark,no,
2004-open-helsinki-finland,1094123527,2004,8th Annual Footbag Finnish Open 2004,Helsinki,Uusimaa,Finland,Helsinki,Uusimaa,Finland,no,
2004-open-aachen-germany,1071060801,2004,Aachen Indoor Open 2004,Aachen,North Rhine-Westphalia,Germany,Aachen,North Rhine-Westphalia,Germany,no,
2004-championships-prague-czech-republic,1092073845,2004,Czech Championships 2004,Prague,,Czech Republic,Prague,,Czech Republic,no,
2004-championships-naantali-finland,1097785506,2004,Finnish Singles Net Footbag Championships 2004,Naantali,Southwest Finland,Finland,Naantali,Southwest Finland,Finland,no,
2004-open-frankfurt-germany-1094201584,1094201584,2004,Frankfurt Footbag Open 2004,Frankfurt,Hesse,Germany,Frankfurt,Hesse,Germany,no,
2004-funtastik-summer-classic-harrisburg-usa,1075781798,2004,Funtastik Summer Classic Footbag Tournament,Harrisburg,Pennsylvania,United States,Harrisburg,Pennsylvania,United States,no,
2004-open-frankfurt-germany-1079444598,1079444598,2004,German Footbag Open 2004,Frankfurt,Hesse,Germany,Frankfurt,Hesse,Germany,no,
2004-jfk-battle-jyv-skyl-finland,1083699966,2004,JFK Net Battle,Jyväskylä,Central Finland,Finland,Jyväskylä,Central Finland,Finland,no,
2004-may-day-04-victoria-canada,1079664495,2004,May Day '04,Victoria,British Columbia,Canada,Victoria,British Columbia,Canada,no,
2004-open-montpellier-france,1090569022,2004,Montpellier Sunny Jam Open,Montpellier,Occitanie,France,Montpellier,Occitanie,France,no,
2004-rnh-contest-2004-paris-france,1080138513,2004,RNH Contest 2004,Paris,Île-de-France,France,Paris,Île-de-France,France,no,
2004-open-saint-petersburg-russia,1076876907,2004,Russian Open Footbag Series/ Stage 1,Saint Petersburg,,Russia,Saint Petersburg,,Russia,no,
2004-open-moscow-russia-1081766954,1081766954,2004,Russian Open Footbag Series/ Stage 2,Moscow,,Russia,Moscow,,Russia,no,
2004-open-moscow-russia-1092044099,1092044099,2004,Russian Open Footbag Series/ Stage 4,Moscow,,Russia,Moscow,,Russia,no,
2004-open-moscow-russia-1093955766,1093955766,2004,"Russian Open Footbag Series/ Stage 5, Brooks Cup",Moscow,,Russia,Moscow,,Russia,no,
2004-championships-atlanta-usa,1076952530,2004,SOUF 2004 Southeastern Regional Footbag Championships,Atlanta,Georgia,United States,Atlanta,Georgia,United States,no,
2004-shercle-session-1-tallinn-estonia,1079024287,2004,Shercle Session #1,Tallinn,Harju County,Estonia,Tallinn,Harju County,Estonia,no,
2004-space-city-jam-houston-usa,1080757998,2004,Space City Freestyle Jam 2004,Houston,Texas,United States,Houston,Texas,United States,no,
2004-swiat-zoski-wroc-aw-poland,1074511718,2004,Swiat Zoski,Wrocław,Lower Silesian,Poland,Wrocław,Lower Silesian,Poland,no,
2004-todexon-5-prague-czech-republic,1070734498,2004,TODEXON 5,Prague,,Czech Republic,Prague,,Czech Republic,no,
2004-windchill-lhivernal-de-montreal-canada,1065478531,2004,The Windchill -- L'Hivernal de Footbag 2004,Montreal,Quebec,Canada,Montreal,Quebec,Canada,no,
2004-open-turku-finland,1080896073,2004,Turku Open 2004,Turku,Southwest Finland,Finland,Turku,Southwest Finland,Finland,no,
2004-zocha-jam-2004-wroc-aw-poland,1090437706,2004,Zocha Jam 2004,Wrocław,Lower Silesian,Poland,Wrocław,Lower Silesian,Poland,no,
2005-open-podersdorf-am-see-austria,1110562712,2005,2005 Austrian Footbag & Disc Open,Podersdorf am See,Burgenland,Austria,Podersdorf am See,Burgenland,Austria,no,
