event_key,legacy_event_id,year,event_name,city,region,country,issues
event_2022_iv_basque_tournament_of_footbag_net_individual,1645621833,2022,IV.Basque Tournament of Footbag Net (Individual),Bilbao,Basque Country,Spain,BASQUE_COUNTRY
event_2023_akisphere,1686926080,2023,Akisphere,Montreal,Quebec,Canada,QUEBEC_ACCENT_CHECK
event_2023_bulgarian_footbag_championships,1692508794,2023,Bulgarian Footbag Championships,Stara Zagora,Stara Zagora,Bulgaria,DUPLICATE_CITY_REGION
event_2023_bulgarian_footbag_open_2023,1673723574,2023,Bulgarian Footbag Open 2023,Stara Zagora,Stara Zagora,Bulgaria,DUPLICATE_CITY_REGION
event_2023_german_footbag_open_2023,1694868513,2023,German Footbag Open 2023,Berlin,Berlin,Germany,DUPLICATE_CITY_REGION
event_2023_iv_basque_tournament_of_footbag_net_doubles,1690897570,2023,IV.Basque Tournament of Footbag Net (Doubles),Bilbao,Basque Country,Spain,BASQUE_COUNTRY
event_2023_v_basque_tournament_of_footbag_net_individual,1677285621,2023,V. Basque Tournament of Footbag Net (Individual),Bilbao,Basque Country,Spain,BASQUE_COUNTRY
event_2024_24th_ifpa_european_footbag_championships,1711182054,2024,24th IFPA European Footbag Championships,Stara Zagora,Stara Zagora,Bulgaria,DUPLICATE_CITY_REGION
event_2024_43rd_annual_ifpa_world_footbag_championships_2024,1706036811,2024,43rd Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS 2024,Montreal,Quebec,Canada,QUEBEC_ACCENT_CHECK
event_2024_akisphere_2024,1719166875,2024,Akisphere 2024,Montreal,Quebec,Canada,QUEBEC_ACCENT_CHECK
event_2024_bulgarian_footbag_open_2024,1711181388,2024,Bulgarian Footbag Open 2024,Stara Zagora,Stara Zagora,Bulgaria,DUPLICATE_CITY_REGION
event_2024_i_santutxu_tournament_of_footbag_net,1728384115,2024,I. Santutxu Tournament of Footbag (Net),Bilbao,Basque Country,Spain,BASQUE_COUNTRY
event_2024_v_basque_tournament_of_footbag_net_doubles,1721923932,2024,V.Basque Tournament of Footbag Net (Doubles),Bilbao,Basque Country,Spain,BASQUE_COUNTRY
event_2024_vi_basque_tournament_of_footbag_net_individual,1721817655,2024,VI. Basque Tournament of Footbag Net (Individual),Bilbao,Basque Country,Spain,BASQUE_COUNTRY
event_2025_akisphere_2025,1746737817,2025,Akisphere 2025,Montreal,Quebec,Canada,QUEBEC_ACCENT_CHECK
event_2025_bulgarian_footbag_championships_2025,1756448770,2025,Bulgarian Footbag Championships 2025,Stara Zagora,Stara Zagora,Bulgaria,DUPLICATE_CITY_REGION
event_2025_bulgarian_footbag_open_2025,1739036206,2025,Bulgarian Footbag Open 2025,Stara Zagora,Stara Zagora,Bulgaria,DUPLICATE_CITY_REGION
event_2025_ii_bilbao_tournament_of_footbag_individual,1765581778,2025,II.Bilbao Tournament of Footbag (Individual),Bilbao,Basque Country,Spain,BASQUE_COUNTRY
event_2025_vi_basque_tournament_of_footbag_net_doubles,1752525121,2025,VI. Basque Tournament of Footbag Net (Doubles),Bilbao,Basque Country,Spain,BASQUE_COUNTRY
event_2025_vii_basque_tournament_of_footbag_net_individual,1742511366,2025,VII.Basque Tournament of Footbag Net (Individual),Bilbao,Basque Country,Spain,BASQUE_COUNTRY
