event_id,city,region,country,left_display,right_display,year_sheet_location,valid,issue
1486654923,Paris,Île-de-France,France,Paris,France,"Paris, France",Y,
1487800738,Stara Zagora,,Bulgaria,Stara Zagora,Bulgaria,"Stara Zagora, Bulgaria",Y,
1488957997,Lausanne,Vaud,Switzerland,Lausanne,Switzerland,"Lausanne, Switzerland",Y,
1492354286,Chicago,Illinois,United States,"Chicago, Illinois",United States,"Chicago, Illinois, United States",Y,
1520348349,Memphis,Tennessee,United States,"Memphis, Tennessee",United States,"Memphis, Tennessee, United States",Y,
1539024211,Las Vegas,Nevada,United States,"Las Vegas, Nevada",United States,"Las Vegas, Nevada, United States",Y,
1518200935,Kranj,Upper Carniola,Slovenia,Kranj,Slovenia,"Kranj, Slovenia",Y,
1537994275,Medellín,Antioquia,Colombia,Medellín,Colombia,"Medellín, Colombia",Y,
1524683077,New York,,United States,New York,United States,"New York, United States",Y,
1519215398,Sofia,Sofia-Grad,Bulgaria,Sofia,Bulgaria,"Sofia, Bulgaria",Y,
1526588580,Montreal,Quebec,Canada,"Montreal, Quebec",Canada,"Montreal, Quebec, Canada",Y,
1536221908,Vienna,,Austria,Vienna,Austria,"Vienna, Austria",Y,
1526035381,Frankfurt,Hesse,Germany,Frankfurt,Germany,"Frankfurt, Germany",Y,
1519233007,Stara Zagora,,Bulgaria,Stara Zagora,Bulgaria,"Stara Zagora, Bulgaria",Y,
1520596747,Nantes,Pays de la Loire,France,Nantes,France,"Nantes, France",Y,
1515176008,Medellín,Antioquia,Colombia,Medellín,Colombia,"Medellín, Colombia",Y,
1537521152,Turku,Southwest Finland,Finland,Turku,Finland,"Turku, Finland",Y,
1502997442,Erie,Pennsylvania,United States,"Erie, Pennsylvania",United States,"Erie, Pennsylvania, United States",Y,
1531311472,Nantes,Pays de la Loire,France,Nantes,France,"Nantes, France",Y,
1516978874,Paris,Île-de-France,France,Paris,France,"Paris, France",Y,
1526583313,Tábor,South Bohemian,Czech Republic,Tábor,Czech Republic,"Tábor, Czech Republic",Y,
1527557123,Medellín,Antioquia,Colombia,Medellín,Colombia,"Medellín, Colombia",Y,
1533246739,Lausanne,Vaud,Switzerland,Lausanne,Switzerland,"Lausanne, Switzerland",Y,
1531284609,Kraków,Lesser Poland,Poland,Kraków,Poland,"Kraków, Poland",Y,
1557144269,Frankfurt,Hesse,Germany,Frankfurt,Germany,"Frankfurt, Germany",Y,
1572864719,Hradec Králové,,Czech Republic,Hradec Králové,Czech Republic,"Hradec Králové, Czech Republic",Y,
1552865692,New York,,United States,New York,United States,"New York, United States",Y,
1547415984,Warsaw,Masovian,Poland,Warsaw,Poland,"Warsaw, Poland",Y,
1549597969,Medellín,Antioquia,Colombia,Medellín,Colombia,"Medellín, Colombia",Y,
1556306551,Montréal,Quebec,Canada,"Montréal, Quebec",Canada,"Montréal, Quebec, Canada",Y,
1575361225,Vienna,,Austria,Vienna,Austria,"Vienna, Austria",Y,
1574365921,Bilbao,Bizkaia,Spain,Bilbao,Spain,"Bilbao, Spain",Y,
1568289502,Stara Zagora,,Bulgaria,Stara Zagora,Bulgaria,"Stara Zagora, Bulgaria",Y,
1576342966,Helsinki,Uusimaa,Finland,Helsinki,Finland,"Helsinki, Finland",Y,
1566532030,Berlin,,Germany,Berlin,Germany,"Berlin, Germany",Y,
1556730450,Bilbao,Bizkaia,Spain,Bilbao,Spain,"Bilbao, Spain",Y,
1566500647,Larrabetzu,Bizkaia,Spain,Larrabetzu,Spain,"Larrabetzu, Spain",Y,
1564005204,Bilbao,Bizkaia,Spain,Bilbao,Spain,"Bilbao, Spain",Y,
1529239199,Erie,Pennsylvania,United States,"Erie, Pennsylvania",United States,"Erie, Pennsylvania, United States",Y,
1568692191,Medellín,Antioquia,Colombia,Medellín,Colombia,"Medellín, Colombia",Y,
1557331196,Memphis,Tennessee,United States,"Memphis, Tennessee",United States,"Memphis, Tennessee, United States",Y,
1562271704,Columbus,Ohio,United States,"Columbus, Ohio",United States,"Columbus, Ohio, United States",Y,
1547720079,Nantes,Pays de la Loire,France,Nantes,France,"Nantes, France",Y,
1551207285,Paris,Île-de-France,France,Paris,France,"Paris, France",Y,
1568961264,Paris,Île-de-France,France,Paris,France,"Paris, France",Y,
1555631351,Boston,Massachusetts,United States,"Boston, Massachusetts",United States,"Boston, Massachusetts, United States",Y,
1567551985,Kraków,Lesser Poland,Poland,Kraków,Poland,"Kraków, Poland",Y,
1596587110,Doylesburg,Pennsylvania,United States,"Doylesburg, Pennsylvania",United States,"Doylesburg, Pennsylvania, United States",Y,
1628025851,Montreal,Quebec,Canada,"Montreal, Quebec",Canada,"Montreal, Quebec, Canada",Y,
1580328152,Stara Zagora,,Bulgaria,Stara Zagora,Bulgaria,"Stara Zagora, Bulgaria",Y,
1595872698,Hradec Králové,,Czech Republic,Hradec Králové,Czech Republic,"Hradec Králové, Czech Republic",Y,
1593340253,Bilbao,Bizkaia,Spain,Bilbao,Spain,"Bilbao, Spain",Y,
1598616506,Bilbao,Bizkaia,Spain,Bilbao,Spain,"Bilbao, Spain",Y,
1584223469,Bilbao,Bizkaia,Spain,Bilbao,Spain,"Bilbao, Spain",Y,
1600984774,Warsaw,Masovian,Poland,Warsaw,Poland,"Warsaw, Poland",Y,
1623054449,Online,Global,Global,Online,Global,"Online, Global",Y,
1624971880,Kraków,Lesser Poland,Poland,Kraków,Poland,"Kraków, Poland",Y,
1643478787,Helsinki,Uusimaa,Finland,Helsinki,Finland,"Helsinki, Finland",Y,
1625854837,Doylesburg,Pennsylvania,United States,"Doylesburg, Pennsylvania",United States,"Doylesburg, Pennsylvania, United States",Y,
1628025574,Montreal,Quebec,Canada,"Montreal, Quebec",Canada,"Montreal, Quebec, Canada",Y,
1614772897,Stara Zagora,,Bulgaria,Stara Zagora,Bulgaria,"Stara Zagora, Bulgaria",Y,
1628024472,Hradec Králové,,Czech Republic,Hradec Králové,Czech Republic,"Hradec Králové, Czech Republic",Y,
1628596712,Bilbao,Bizkaia,Spain,Bilbao,Spain,"Bilbao, Spain",Y,
1634938934,Bilbao,Bizkaia,Spain,Bilbao,Spain,"Bilbao, Spain",Y,
1617902706,Bilbao,Bizkaia,Spain,Bilbao,Spain,"Bilbao, Spain",Y,
1635599636,Tábor,South Bohemian,Czech Republic,Tábor,Czech Republic,"Tábor, Czech Republic",Y,
1634665636,Warsaw,Masovian,Poland,Warsaw,Poland,"Warsaw, Poland",Y,
