qc_rule,qc_detail,event_id,year,division_canon,place,person_canon,norm
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1064849293,2003,Open Double Net,5,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1089373321,2004,Open Doubles Net,8,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1090569022,2004,Double Net,6,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1090569022,2004,Double Net,8,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1103297805,2005,Double Net,1,__NON_PERSON__,poule a
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1103297805,2005,Double Net,1,__NON_PERSON__,__non_person__
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1103297805,2005,Sick 3,3,__NON_PERSON__,__non_person__
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1103297805,2005,Sick 3,3,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1103297805,2005,Simple Net,1,__NON_PERSON__,poule a
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1103297805,2005,Simple Net,1,__NON_PERSON__,__non_person__
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1103724325,2005,Doubles Net,6,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1103724325,2005,Doubles Net,8,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1105087209,2005,Open Doubles Net,5,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1105087209,2005,Open Doubles Net,9,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1125936037,2005,Open Double Net,13,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1127155729,2005,Open Double Freestyle,1,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1127155729,2005,Open Double Freestyle,2,__NON_PERSON__,
