event_id,year,division_canon,division_category,place,competitor_type,person_id,team_person_key,person_canon,team_display_name,coverage_flag,person_unresolved
1361239371,2013,Open Doubles Net,net,4,team,0327cbbc-8b68-573c-9e55-beb4c6338aa8|c284fc52-4321-51eb-bca6-fd4464131c27,0327cbbc-8b68-573c-9e55-beb4c6338aa8|c284fc52-4321-51eb-bca6-fd4464131c27,__NON_PERSON__,Fernando Moreno Garcia / Javier Vargas Chacon,complete,
1361239371,2013,Open Doubles Net,net,5,team,578ed9fb-36ce-53e9-a833-b46ebae88bbd|da631353-0d65-5a29-9572-37f115385c15,578ed9fb-36ce-53e9-a833-b46ebae88bbd|da631353-0d65-5a29-9572-37f115385c15,__NON_PERSON__,Cristian García / Antonio Linero Castro,complete,
1361239371,2013,Open Doubles Net,net,6,team,60a591e7-f33b-51d4-ba2f-a43c58c03c77|ca64a226-9831-54d2-b8cc-c9a72ef37f9a,60a591e7-f33b-51d4-ba2f-a43c58c03c77|ca64a226-9831-54d2-b8cc-c9a72ef37f9a,__NON_PERSON__,Leiner Hevia / Jose Bolivar Izzo,complete,
1361239371,2013,Open Doubles Net,net,7,team,732bef4d-fb15-59c7-a8cf-239b30c3521f|05254786-7d69-5d07-b6fe-4fd4493825c8,732bef4d-fb15-59c7-a8cf-239b30c3521f|05254786-7d69-5d07-b6fe-4fd4493825c8,__NON_PERSON__,Diego Gamboa Barrios (Venezuela) / Jesus Manuel Rivero,complete,
1361239371,2013,Open Singles Net,net,1,player,dfb408b6-d225-5b9f-b1c7-3f9a76c4319a,,Carlos Marquez,,complete,
1361239371,2013,Open Singles Net,net,2,player,c683cb86-d6c9-5934-a233-52fe46b39a6e,,Andres Vivas,,complete,
1361239371,2013,Open Singles Net,net,3,player,f575cc2c-4155-547e-87ac-e2c53e7b63fc,,Julio Garcia,,complete,
1361239371,2013,Open Singles Net,net,4,player,f1fc2658-161b-53b1-bdc4-b9d88847819e,,Anthony Vivas Barrera,,complete,
1361239371,2013,Open Singles Net,net,5,player,da631353-0d65-5a29-9572-37f115385c15,,Antonio Linero Castro,,complete,
1361239371,2013,Open Singles Net,net,6,player,578ed9fb-36ce-53e9-a833-b46ebae88bbd,,Cristian García,,complete,
1361239371,2013,Open Singles Net,net,7,player,3123701a-43bd-5273-8472-ba332dc67fed,,Juan Bernardo Palacios Lemos,,complete,
1361239371,2013,Open Singles Net,net,8,player,0327cbbc-8b68-573c-9e55-beb4c6338aa8,,Fernando Moreno Garcia,,complete,
1361239371,2013,Open Singles Net,net,9,player,c2637d75-15a7-5f34-b78a-16264db593c0,,Alberto Perez,,complete,
1361239920,2013,Open Doubles Net,net,1,team,78cb7741-da32-5894-926c-168a190cc4d2|cd277323-fc63-5adf-bb0c-e05ab57a46e8,78cb7741-da32-5894-926c-168a190cc4d2|cd277323-fc63-5adf-bb0c-e05ab57a46e8,__NON_PERSON__,Roberto Da Silva / Eduardo Martinez,complete,
1361239920,2013,Open Doubles Net,net,2,team,dfb408b6-d225-5b9f-b1c7-3f9a76c4319a|f1fc2658-161b-53b1-bdc4-b9d88847819e,dfb408b6-d225-5b9f-b1c7-3f9a76c4319a|f1fc2658-161b-53b1-bdc4-b9d88847819e,__NON_PERSON__,Carlos Márquez / Anthony Vivas Barrera,complete,
1361239920,2013,Open Doubles Net,net,3,team,c683cb86-d6c9-5934-a233-52fe46b39a6e|f575cc2c-4155-547e-87ac-e2c53e7b63fc,c683cb86-d6c9-5934-a233-52fe46b39a6e|f575cc2c-4155-547e-87ac-e2c53e7b63fc,__NON_PERSON__,Andres Vivas / Julio García,complete,
1361239920,2013,Open Doubles Net,net,4,team,3f78b9d6-0b17-5661-8280-f98ad91dadf1|d9a7e5f1-4575-53df-8031-84d5ae7ac7f0,3f78b9d6-0b17-5661-8280-f98ad91dadf1|d9a7e5f1-4575-53df-8031-84d5ae7ac7f0,__NON_PERSON__,Oscar Loreto / Darwins Mora,complete,
1361239920,2013,Open Doubles Net,net,5,team,53e79e50-2b7a-5808-9d60-7b3571ad1fd4|578ed9fb-36ce-53e9-a833-b46ebae88bbd,53e79e50-2b7a-5808-9d60-7b3571ad1fd4|578ed9fb-36ce-53e9-a833-b46ebae88bbd,__NON_PERSON__,Leandro Ribeiro / Cristian García,complete,
