event_id,year,stage2_placements,flat_placements,delta_flat_minus_stage2
1339389008,2012,51,51,0
1344519313,2012,7,7,0
1344593549,2012,52,52,0
1344933824,2012,29,29,0
1346947092,2012,10,30,20
1346948712,2012,22,22,0
1347475695,2012,23,23,0
1348171585,2012,4,4,0
1348929718,2012,24,23,-1
1349043745,2013,82,82,0
1353085933,2012,15,15,0
1353223688,2012,38,23,-15
1353380057,2013,32,31,-1
1354752474,2013,99,99,0
1357101984,2013,38,33,-5
1357206898,2013,35,34,-1
1357231609,2013,20,20,0
1357234775,2013,16,16,0
1357642226,2013,22,22,0
1358271250,2013,40,40,0
1358964427,2013,6,6,0
1360305756,,16,0,-16
1361207019,2013,199,199,0
1361239371,2013,16,15,-1
1361239920,2013,21,21,0
1362598500,2013,34,34,0
1362657553,2013,55,54,-1
1362915311,2013,15,15,0
1363551565,2013,20,20,0
1366240051,2013,28,9,-19
1366375326,2013,37,36,-1
1367327351,2013,20,20,0
1368559562,2013,39,36,-3
1369141018,2013,11,9,-2
1369864929,2013,7,7,0
1370276202,2013,35,35,0
1371821574,2013,37,37,0
1374570632,2013,63,63,0
1376036018,2013,118,117,-1
1377192359,2013,49,35,-14
1378666423,2013,57,54,-3
1378821205,2013,27,26,-1
1378928859,2013,19,19,0
1379414806,2013,17,17,0
1382778441,2013,38,38,0
1383076667,2014,33,33,0
1386623061,2014,26,24,-2
1389338303,2014,88,88,0
1389613723,2014,15,15,0
1389730147,2014,36,36,0
1391176125,2014,12,12,0
1391189882,2014,246,246,0
1392497284,2014,4,4,0
1393451254,2014,23,23,0
1393501611,2014,14,14,0
1394621886,2014,5,5,0
1394742347,2014,25,25,0
1394773593,2014,39,39,0
1399929003,2014,0,10,10
1401113913,2014,22,22,0
1401624489,,12,0,-12
1403287103,2014,18,18,0
1404123889,2014,11,11,0
1405875596,2014,42,42,0
1406219099,2014,51,49,-2
1407335213,2014,46,46,0
1408070192,,2,0,-2
1412859519,2014,22,22,0
1413607134,2014,28,28,0
1415986036,2015,22,22,0
1417000778,2014,13,13,0
1417735560,2015,272,268,-4
1417958417,2015,58,58,0
1418127354,2015,25,25,0
1420195881,2015,24,23,-1
1421069713,2015,11,10,-1
1421271111,2015,19,19,0
1422386917,2015,16,16,0
1423020874,2015,40,39,-1
1425372477,2015,37,32,-5
1427144456,2015,10,10,0
1429205408,,0,0,0
1430582557,2015,25,25,0
1430596760,2015,8,8,0
1431288258,2015,10,10,0
1432901754,2015,25,25,0
1435110091,2015,33,32,-1
1435784719,2015,38,16,-22
1436878168,2015,37,37,0
1438626750,2015,38,38,0
1439332196,2015,58,58,0
1444911632,2015,62,62,0
1445178271,2015,16,16,0
1446571794,2016,27,27,0
1447494731,,9,0,-9
1449217972,2015,8,8,0
1449259560,2016,46,43,-3
1453384342,2016,15,15,0
1454371285,2016,6,6,0
1455047000,2016,13,13,0
1458125752,2016,12,12,0
1458170459,2016,8,8,0
1458772302,2016,38,38,0
1459426362,2016,30,30,0
1460640850,2016,86,85,-1
1461077179,2016,5,5,0
1463511970,2016,18,18,0
1464967908,2016,23,23,0
1466891959,2016,25,13,-12
1466942562,2016,48,48,0
1467142686,2016,44,44,0
1471407009,2016,5,5,0
1471686537,2017,125,125,0
1473853257,2016,43,41,-2
1473932659,2016,18,18,0
1485520697,2017,12,12,0
1485863923,2017,103,102,-1
1485967222,2017,13,13,0
1485970612,2017,17,17,0
1486654923,2017,7,7,0
1487797845,2017,167,167,0
1487800738,2017,6,6,0
1488957997,2017,44,44,0
1489248474,2017,12,1,-11
1492354286,2017,14,14,0
1497678985,2017,27,27,0
1498568502,2017,15,15,0
1499025778,2017,71,71,0
1499168069,2017,13,13,0
1502929111,2017,20,20,0
1502997442,2018,24,24,0
1509295388,2017,9,9,0
1509295589,2017,8,8,0
1515176008,2018,12,12,0
1516978874,2018,13,12,-1
1518200935,2018,100,100,0
1519215398,2018,161,161,0
1519233007,2018,12,12,0
1520348349,2018,10,10,0
1520596747,2018,18,18,0
1524683077,2018,21,21,0
1526035381,2018,8,8,0
1526583313,2018,6,6,0
1526588580,2018,34,34,0
1527557123,2018,15,16,1
1529239199,2019,48,44,-4
1531284609,2018,96,96,0
1531311472,2018,15,15,0
1533246739,2018,37,37,0
1536221908,2018,15,15,0
1537521152,2018,19,19,0
1537994275,2018,20,20,0
1539024211,2018,16,16,0
1547415984,2019,296,294,-2
1547720079,2019,22,22,0
1549597969,2019,14,16,2
1551207285,2019,9,9,0
1552865692,2019,32,32,0
1555631351,2019,47,45,-2
1556306551,2019,30,30,0
1556730450,2019,3,3,0
1557144269,2019,12,12,0
1557331196,2019,5,5,0
1562271704,,0,0,0
1564005204,2019,5,1,-4
1565425638,2022,31,31,0
1566500647,2019,7,5,-2
1566532030,2019,65,65,0
1567551985,2019,75,68,-7
1568289502,2019,12,12,0
1568692191,2019,18,18,0
1568961264,2019,35,16,-19
1572864719,2019,7,7,0
1574365921,2019,5,3,-2
1575361225,2019,5,5,0
1576342966,2019,17,17,0
1580328152,2020,6,6,0
1584223469,2020,3,3,0
1593340253,2020,5,4,-1
1595872698,2020,12,12,0
1596587110,2020,19,19,0
1598616506,2020,10,8,-2
1600984774,2020,44,44,0
1614772897,2021,8,8,0
1617902706,2021,6,5,-1
1623054449,2021,44,44,0
1624971880,2021,32,32,0
1625854837,2021,11,11,0
