event_id,event_name,original_location,normalized_location,reason
1183729267,9e Open de France de Footbag,"Paris, France","Paris, Île-de-France, France",region_added
1203604560,CommALaMaison Contest 2008,"Paris, France","Paris, Île-de-France, France",region_added
1204904987,RNH Contest 2008,"Paris, France","Paris, Île-de-France, France",region_added
1222687523,10e Open de France de Footbag,"Paris, France","Paris, Île-de-France, France",region_added
1235149093,RNH Contest 2009,"Paris, France","Paris, Île-de-France, France",region_added
1256202918,11e Open de France de Footbag,"Paris, France","Paris, Île-de-France, France",region_added
1270631935,RNH Contest 2010,"Paris, France","Paris, Île-de-France, France",region_added
1294262550,12e Open de France de Footbag,"Paris, France","Paris, Île-de-France, France",region_added
1300316952,Paris Net Battle 2011,"Paris, France","Paris, Île-de-France, France",region_added
1320232300,RNH Contest 2011,"Paris, France","Paris, Île-de-France, France",region_added
1331667371,Paris Net Battle 2,"Paris, France","Paris, Île-de-France, France",region_added
1353085933,RNH Contest 2012,"Paris, France","Paris, Île-de-France, France",region_added
1354752474,13e Open de France de Footbag,"Paris, France","Paris, Île-de-France, France",region_added
1369864929,Paris Net Battle 3,"Paris, France","Paris, Île-de-France, France",region_added
1391189882,35th IFPA WORLD FOOTBAG CHAMPIONSHIPS,"Paris, France","Paris, Île-de-France, France",region_added
1394621886,Paris Net Battle 2014,"Paris, France","Paris, Île-de-France, France",region_added
1412859519,15th Anniversary of RNH Footbag (RNH Contest 2014),"Paris, France","Paris, Île-de-France, France",region_added
1417000778,RNH Winter Contest 2014,"Paris, France","Paris, Île-de-France, France",region_added
1458170459,RNH Contest 2016,"Paris, France","Paris, Île-de-France, France",region_added
1486654923,RNH Contest,"Paris, France","Paris, Île-de-France, France",region_added
1516978874,RNH Contest 2018,"Paris, France","Paris, Île-de-France, France",region_added
1551207285,RNH Contest 2019,"Paris, France","Paris, Île-de-France, France",region_added
1568961264,RNH Footbag 20th Anniversary,"Paris, France","Paris, Île-de-France, France",region_added
1721038326,RNH Contest 2024,"Paris, France","Paris, Île-de-France, France",region_added
1753997172,RNH Contest 2025,"Paris, France","Paris, Île-de-France, France",region_added
1095965765,2nd Annual Piliscsaba Footbag Open,"Piliscsaba, Hungary","Piliscsaba, Pest, Hungary",region_added
1297811412,11th Annual Polish Footbag Championships 2011,"Plonsk, Poland","Płońsk, Masovian, Poland",region_added
