alias,canonical,alias_count,canonical_count_in_pf,alias_years,canonical_years,shared_events,shared_event_ids_sample,alias_event_ids_sample,canonical_event_ids_sample,score,reasons
Mike,Mike Marshall,1,6,2001,"1981,1983,1984,1986,1987",0,,1001942070,"2001981003,2001981004,2001983005,2001984003,2001986004",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Mike,Mike Peterson,1,1,2001,1985,0,,1001942070,9940469,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Mike,Mike Scheele,1,2,2001,"1998,1999",0,,1001942070,"876356874,910551956",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Mike,Mike Sheridan,1,1,2001,1999,0,,1001942070,909186885,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Mike,Mike Stephanelli,1,8,2001,1999..2011 (7 yrs),0,,1001942070,"1135116604,1163784775,1193783964,1226549669,1310408325",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Mike,Mike Stokely,1,9,2001,"2002,2003,2008,2009",0,,1001942070,"1028218784,1058378281,1189977929,1216849705,1248033041",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Mike,Mike Stoler,1,2,2001,"1998,1999",0,,1001942070,"876356874,910551956",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Mike,Mike Taber,1,1,2001,2002,0,,1001942070,1013283071,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Mike,Mike Toolan,1,3,2001,"2008,2013",0,,1001942070,"1220466807,1367327351",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Mike,Mike Voght,1,1,2001,1998,0,,1001942070,892446131,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Mike,Mike Voightmann,1,9,2001,"1997,1998,1999,2001",0,,1001942070,"865043841,876591529,884112176,899077904,910551956",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Mike,Mike Wilson,1,3,2001,2001,0,,1001942070,"974683678,988434364",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Mikko,Mikko Haario,1,3,2013,"2003,2004,2005",0,,1377192359,"1063788560,1094123527,1102576153",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Mikko,Mikko Inkinen,1,1,2013,2007,0,,1377192359,1180373807,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Mikko,Mikko Kallanto,1,1,2013,2002,0,,1377192359,1027925383,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Mikko,Mikko Lepisto,1,74,2013,2002..2025 (19 yrs),0,,1377192359,"1019193491,1027925383,1050067583,1063788560,1069929277",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Mikko,Mikko Poikonen,1,11,2013,2001..2011 (7 yrs),0,,1377192359,"1001076315,1097785506,1124035486,1132511088,1142360459",7,"prefix_match,token_subset,rare_alias,canon_more_common"
