raw_name,person_id,person_canon,match_type,match_source,candidate_person_ids,confidence,notes
Randy Ross,,,NONE,,,LOW,possible PT match: Becca English Ross (93d75393); Dennis Ross (84641a6f)
Reed Gray,b5d49246-d1b4-5540-a92d-72d26e6b1d0b,Reed Gray,EXACT,person_canon,b5d49246-d1b4-5540-a92d-72d26e6b1d0b,HIGH,
Rick Kaufman,8ca3812a-3df8-5cfe-9cff-a1df1963b8e6,Rick Kaufman,EXACT,person_canon,8ca3812a-3df8-5cfe-9cff-a1df1963b8e6,HIGH,
Rick Reese,0858e74f-3f58-51c5-8d9b-4a6f2333c08c,Rick Reese,EXACT,person_canon,0858e74f-3f58-51c5-8d9b-4a6f2333c08c,HIGH,
Rita Buckley,2b77bf53-5fb8-57a3-a5c0-aa9b0b08434e,Rita Buckley,EXACT,person_canon,2b77bf53-5fb8-57a3-a5c0-aa9b0b08434e,HIGH,
Robert Conover,282ea81a-5815-5a15-9842-ee2ad6e2047e,Robert Conover,EXACT,person_canon,282ea81a-5815-5a15-9842-ee2ad6e2047e,HIGH,
Ruth Osterman,a10fa54f-eadb-5842-8df1-fdca1920e7e7,Ruth Osterman,EXACT,person_canon,a10fa54f-eadb-5842-8df1-fdca1920e7e7,HIGH,
Scott Cleere,777d9449-6e41-5985-bb7d-cdaf8647ef9c,Scott Cleere,EXACT,person_canon,777d9449-6e41-5985-bb7d-cdaf8647ef9c,HIGH,
Shannon Aubin,4667c817-96f6-5e6e-b3ab-46ecd390dc0e,Shannon Aubin,EXACT,person_canon,4667c817-96f6-5e6e-b3ab-46ecd390dc0e,HIGH,
Shannon Storment,c04b0df1-3194-55ab-aa97-16adb45c25d3,Shannon Storment,EXACT,person_canon,c04b0df1-3194-55ab-aa97-16adb45c25d3,HIGH,
Sindre Madsen,,,NONE,,,LOW,
Steve Brown,,,NONE,,,LOW,possible PT match: Chris Brown (204a0648); Eric Brown (f3d2cb63)
Steve Femmel,fb605451-fa41-5e6d-ad21-1b541b3fc82b,Steve Femmel,EXACT,person_canon,fb605451-fa41-5e6d-ad21-1b541b3fc82b,HIGH,
Steve Fennell,,,NONE,,,LOW,possible PT match: Steve Blades (7e26d6c3); Steve Butler (ded074f2)
Steve Granzberg,14941d8e-1763-5f1e-9daf-dc3c7fa97c96,Steve Granzberg,EXACT,person_canon,14941d8e-1763-5f1e-9daf-dc3c7fa97c96,HIGH,
Suzanne Beauchemin,3c09d4cc-2da9-5e1f-8a4c-e44ca0542f82,Suzanne Beauchemin,EXACT,person_canon,3c09d4cc-2da9-5e1f-8a4c-e44ca0542f82,HIGH,
Ted Johnson,,,NONE,,,LOW,possible PT match: Andrew Johnson (2ada39d8); Ben Johnson (251d6d5f)
Ted Martens,,,NONE,,,LOW,possible PT match: Matt Martens (7679b216); Ted Martin (3d1b24de)
Tim Fitzgerald,,,NONE,,,LOW,possible PT match: Jim Fitzgerald (b54020bc); Jim Toes Fitzgerald (af0099f9)
Tim Mackey,5e46bdbe-bbbb-5cca-aacb-d5edf9bf2540,Tim Mackey,EXACT,person_canon,5e46bdbe-bbbb-5cca-aacb-d5edf9bf2540,HIGH,
Tim Prater,de9e5c5c-8b5b-5ced-b326-5d2048c7ab3c,Tim Prater,EXACT,person_canon,de9e5c5c-8b5b-5ced-b326-5d2048c7ab3c,HIGH,
Tobin Wigger,,,NONE,,,LOW,possible PT match: Torbin Wigger (f38e2f8e)
Tom Akin,f0156ba3-ee86-5eab-b884-99ba8719dd84,Tom Akin,EXACT,person_canon,f0156ba3-ee86-5eab-b884-99ba8719dd84,HIGH,
Torben Wigger,,,NONE,,,LOW,possible PT match: Torbin Wigger (f38e2f8e); Torben Hansen (950f4664)
Torgeir Rygh,,,NONE,,,LOW,
Tricia George,26349aa8-a1ff-5e6a-bff5-f93a89d20c68,Tricia George,EXACT,person_canon,26349aa8-a1ff-5e6a-bff5-f93a89d20c68,HIGH,
Trudy Archdale,3b25f805-f97e-528c-915d-3647ecaa8914,Trudy Archdale,EXACT,person_canon,3b25f805-f97e-528c-915d-3647ecaa8914,HIGH,
Vanessa Sabala,03ed9422-5152-5132-a181-7249637c824a,Vanessa Sabala,EXACT,person_canon,03ed9422-5152-5132-a181-7249637c824a,HIGH,
Walt Mason,c0592850-ae68-5b8b-aaf2-2741b8bdc51d,Walt Mason,EXACT,person_canon,c0592850-ae68-5b8b-aaf2-2741b8bdc51d,HIGH,
Will Squire,a6ba539d-a3b1-5685-ba8f-f537731bc96d,Will Squire,EXACT,person_canon,a6ba539d-a3b1-5685-ba8f-f537731bc96d,HIGH,
unknown,,,NONE,,,LOW,
