person_id,person_canon,source_scope,ifpa_member_id,bap_member,bap_year,bap_nickname,fbhof_member,fbhof_year,source,confidence,notes
76c8b933-3ec9-53e9-b2a7-a862b32704db,Jeff Johnson,POST1997,65758,N,,,Y,,persons.csv (post-1997 canonical),HIGH,
777d9449-6e41-5985-bb7d-cdaf8647ef9c,Scott Cleere,POST1997,18968,N,,,Y,2000,persons.csv (post-1997 canonical),HIGH,
77f0f32d-98bf-5742-8228-4e06ac07bd9d,Lori Jean Conover,POST1997,13690,N,,,Y,,persons.csv (post-1997 canonical),HIGH,
7bbc620b-366a-5ffb-8bf3-0f9f3e9e8e0e,Evan Bozett,POST1997,,N,,,N,,persons.csv (post-1997 canonical),HIGH,
826201f8-2540-5663-9bbf-239e94ccee43,Constance Constable,POST1997,73938,N,,,Y,,persons.csv (post-1997 canonical),HIGH,
84641a6f-36d4-5857-af3f-827b1f57102f,Dennis Ross,POST1997,68312,N,,,Y,,persons.csv (post-1997 canonical),HIGH,
886e5b99-bd46-5707-a490-a2e938b09a35,Bruce Guettich,POST1997,12989,N,,,Y,,persons.csv (post-1997 canonical),HIGH,
8959d778-41d3-554e-a831-6e1f73534b0f,Chris Ott,POST1997,40543,N,,,Y,2002,persons.csv (post-1997 canonical),HIGH,
895b0608-34df-509a-853d-684ffa24e824,David Robinson,POST1997,,N,,,Y,2000,persons.csv (post-1997 canonical),HIGH,
8acf4e97-e1e8-50d7-8fd4-3a1d8ff4e731,Fred Kippley,POST1997,76673,N,,,N,,persons.csv (post-1997 canonical),HIGH,
8b8c45bf-a622-55cd-bd2d-67f3b395873e,Gary Griggs,POST1997,,N,,,N,,persons.csv (post-1997 canonical),HIGH,
8ca3812a-3df8-5cfe-9cff-a1df1963b8e6,Rick Kaufman,POST1997,66225,N,,,Y,1999,persons.csv (post-1997 canonical),HIGH,
8d03383e-8e17-5065-a3ec-bae127aea67d,Jennifer Reese,POST1997,,N,,,N,,persons.csv (post-1997 canonical),HIGH,
8f420eba-d663-5f06-b0f4-b62bf7550f80,John Stalberger,POST1997,42689,N,,,Y,1997,persons.csv (post-1997 canonical),HIGH,
92b0ee3b-efaa-545a-b07e-30ab6d8ebeb0,Bill Hayne,POST1997,,N,,,Y,,persons.csv (post-1997 canonical),HIGH,
95643c20-ec23-57a5-a742-5b44534ae959,Brent Welch,POST1997,12442,N,,,Y,2004,persons.csv (post-1997 canonical),HIGH,
95fb4def-7ff2-5c9c-8de5-1b97d0e13756,Max Smith,POST1997,,N,,,N,,persons.csv (post-1997 canonical),HIGH,
9837d58a-0b5d-58cf-a565-dda9bde70bac,Kevin Coker,POST1997,,N,,,N,,persons.csv (post-1997 canonical),HIGH,
a10fa54f-eadb-5842-8df1-fdca1920e7e7,Ruth Osterman,POST1997,,N,,,N,,persons.csv (post-1997 canonical),HIGH,
a6ba539d-a3b1-5685-ba8f-f537731bc96d,Will Squire,POST1997,,N,,,N,,persons.csv (post-1997 canonical),HIGH,
