person_id,person_canon,style_mentions_total,distinct_style_terms,atomic,blazing,ducking,gyro,pixie,spinning,stepping,symposium,tapping
eb6c8019-8a66-5c39-942f-47e75377cc38,Danny Iachini,1,1,1,0,0,0,0,0,0,0,0
bd9a2c9a-1554-5238-929d-c876342007a3,Danny Petrick,1,1,0,0,0,0,1,0,0,0,0
b3a275df-fe1c-58b4-967b-d0396cec4211,Dominik Šimků,1,1,0,0,0,0,0,1,0,0,0
16a8976e-c728-586a-835b-08b5255a744c,Dylan Govender,1,1,0,0,0,0,1,0,0,0,0
10854ae3-60d7-51a7-ad9a-36033b541bd9,Ethan Husted,1,1,0,0,0,0,1,0,0,0,0
e7531f0e-b30b-573c-81cb-86d73b75f88e,Fanda Hájek,1,1,1,0,0,0,0,0,0,0,0
0539e096-7911-5237-8814-b514ed5442e2,Fletcher Funk,1,1,0,0,1,0,0,0,0,0,0
d31e8ab0-0924-5e2c-b3f8-560279e37c9a,Franck Rémy,1,1,0,0,0,0,0,0,1,0,0
414acac1-acb2-58f9-9c40-c0f8a8f2d70c,Fred Touzelet,1,1,0,0,0,0,1,0,0,0,0
2512e04d-9d40-5794-9807-5cbf616df0a6,Gielnicki Damian,1,1,0,0,0,0,0,1,0,0,0
10573dc4-31ee-5440-9df4-a68d11bd4801,Gordon Bevier,1,1,0,0,0,0,0,0,1,0,0
4e7d48ab-1639-5784-bf98-d936a3935489,Gray Chadwick,1,1,0,0,0,0,0,0,0,1,0
fa005bba-9079-5b6a-9eec-592016d90f66,Greg Solis,1,1,0,0,1,0,0,0,0,0,0
ec1d5118-cd4b-591f-a84a-04bbe20868bc,Grischa Tellenbach,1,1,0,0,0,0,0,1,0,0,0
1bfb569c-6400-5fbb-aca1-66b0cfb3abc3,Jacob Wren,1,1,0,0,0,0,0,1,0,0,0
67f14498-b4d7-54f4-ad8a-3a4d95ccbd24,Jake Wren,1,1,0,0,0,0,0,1,0,0,0
7a8314b4-2af9-584d-bd79-4af7a74d9c21,Jakub Mosciszewski,1,1,0,0,0,0,1,0,0,0,0
49ad435e-3398-59da-985c-65ce0612bdd3,Jan Brekle,1,1,0,0,1,0,0,0,0,0,0
256b88e4-da63-5d81-9d58-b25baaed9823,Jan Dexter Struz,1,1,0,0,0,0,0,0,0,1,0
446b5d82-318c-5584-8834-66ec244c20cb,Jan Vlcek,1,1,0,0,1,0,0,0,0,0,0
9d69ef20-b1c0-5b65-91f2-4da140883053,Jane Jones,1,1,0,0,0,0,0,1,0,0,0
34f17114-99b7-5320-b4ed-10a6813859ac,Jay Boychuk,1,1,0,0,0,0,1,0,0,0,0
54d24f68-96bf-5837-bdaa-02e3d0774e76,Jean Phillipe Labbé,1,1,0,0,0,0,0,0,0,1,0
e97530df-f440-5740-8ff4-2206df644d85,Jeremiah Bechard,1,1,0,0,0,0,1,0,0,0,0
1f864e5e-28bc-5370-8f30-49bc3c65c64c,Jeremy Masselis,1,1,0,0,0,0,0,0,0,1,0
ac873358-cd16-58eb-81c0-5c9b798de252,Jess Archer,1,1,0,0,1,0,0,0,0,0,0
a16f307e-68d5-5ad4-be8f-234aeefc45fc,Joel Roset,1,1,0,0,0,0,1,0,0,0,0
ac5e2112-c6cb-58f1-869d-6f6f8a63d13b,John Mahood,1,1,1,0,0,0,0,0,0,0,0
db9f32dc-4dab-560e-aa3f-0acfd32fcd7d,John Suderman,1,1,0,0,0,0,0,0,0,1,0
c2c56323-1121-5a07-8416-5aca5fa1ce00,Johnny Sarah,1,1,0,0,0,0,0,1,0,0,0
