chain_id,event_id,year,person_id,person_canon,match_type,attribution_confidence,position,modifier_token,prev_token,next_token,note
1219405634_128,1219405634,2008,4ad82639-801d-5c4b-aae6-f07e5dfe67d2,Mariusz Wilk,,context_window,0,stepping,,eggbeater,head_modifier
1219405634_146,1219405634,2008,4ad82639-801d-5c4b-aae6-f07e5dfe67d2,Mariusz Wilk,,context_window,0,stepping,,atomic,head_modifier
1219405634_146,1219405634,2008,4ad82639-801d-5c4b-aae6-f07e5dfe67d2,Mariusz Wilk,,context_window,1,atomic,stepping,,tail_dangler
1219405634_149,1219405634,2008,4ad82639-801d-5c4b-aae6-f07e5dfe67d2,Mariusz Wilk,,context_window,2,symposium,eggbeater,,tail_dangler
1219405634_99,1219405634,2008,3568ce18-bf1b-55b6-aefd-61f65f55b08c,Jakub Grabarczyk,,context_window,0,barraging,,symposium dlo,head_modifier
1219405634_99,1219405634,2008,3568ce18-bf1b-55b6-aefd-61f65f55b08c,Jakub Grabarczyk,,context_window,2,atomic,symposium dlo,,tail_dangler
1222687523_131,1222687523,2008,4451a36c-41ca-55ab-87f3-d364b6f485ee,Jan Honza Weber,,context_window,1,pixie,legover,,tail_dangler
1222687523_132,1222687523,2008,4451a36c-41ca-55ab-87f3-d364b6f485ee,Jan Honza Weber,,context_window,1,pixie,fog,,tail_dangler
1222687523_135,1222687523,2008,4451a36c-41ca-55ab-87f3-d364b6f485ee,Jan Honza Weber,,context_window,2,symposium,legover,,tail_dangler
1222687523_136,1222687523,2008,4451a36c-41ca-55ab-87f3-d364b6f485ee,Jan Honza Weber,,context_window,0,pixie,,paradox whirl,head_modifier
1226679678_199,1226679678,2009,34f17114-99b7-5320-b4ed-10a6813859ac,Jay Boychuk,,direct,0,pixie,,blurry whirl,head_modifier
1226679678_201,1226679678,2009,437d9bc1-f872-5687-9191-689dccedb6d0,Michal Biarda,,direct,1,pixie,legover,,tail_dangler
1228946926_15,1228946926,2008,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,,context_window,1,pixie,fog,,tail_dangler
1228946926_19,1228946926,2008,0b3204c8-7e99-586e-aeb2-4186d0901fe3,Milan Benda,,context_window,0,ducking,,ducking osis,head_modifier
1239721441_5,1239721441,2009,4f0fcdbc-8dfe-51fc-b92c-b3cda4dd0c00,Marcin Bujko,,direct,1,spinning,blurry whirl,,tail_dangler
1255957016_49,1255957016,2009,6513b145-8a4a-556a-a04f-981d95db2d70,Arkadiusz Dudzinski,,direct,0,atomic,,eggbeater,head_modifier
1265745512_110,1265745512,2010,ac1268dc-a961-568f-860e-63e9ea815c01,Damian Gielnicki,,direct,2,symposium,swirl,,tail_dangler
1269266785_96,1269266785,2010,033a8589-0c98-5729-a8b4-068c4efcf025,David Clavens,,direct,1,spinning,swirl,,tail_dangler
1269266785_97,1269266785,2010,ac1268dc-a961-568f-860e-63e9ea815c01,Damian Gielnicki,,direct,2,symposium,swirl,,tail_dangler
1269266785_99,1269266785,2010,437d9bc1-f872-5687-9191-689dccedb6d0,Michal Biarda,,direct,0,ducking,,pixie,head_modifier
1269266785_99,1269266785,2010,437d9bc1-f872-5687-9191-689dccedb6d0,Michal Biarda,,direct,1,pixie,ducking,,tail_dangler
1288096032_48,1288096032,2010,e719220a-29e0-5844-869b-58c53a0b88b9,Bartosz Bubula,,direct,1,symposium,blurry whirl,,tail_dangler
1288096032_50,1288096032,2010,ac1268dc-a961-568f-860e-63e9ea815c01,Damian Gielnicki,,direct,0,stepping,,torque,head_modifier
1316280393_77,1316280393,2011,ddf2f704-a4d2-5653-a82a-45987d37645c,Krzysztof Sobótka,,context_window,0,stepping,,dimwalk,head_modifier
1337617980_83,1337617980,2012,c90a00eb-95d7-5375-a769-b71cbce34d87,Jakob Wagner,,direct,0,ducking,,food processor,head_modifier
1357206898_28,1357206898,2013,1e09ba09-ec4b-5961-8b95-e0d638dc4f5c,Jan Weber,,direct,0,ducking,,blender,head_modifier
1361207019_166,1361207019,2013,04a43526-37ba-5ea0-a01c-8e357a694c42,Felix Zenger,,direct,0,symposium,,blender,head_modifier
1378666423_42,1378666423,2013,f52e0fe8-4eff-5532-9af4-14124f1e92ee,Matthias Lino Schmidt,,context_window,1,symposium,fusion,,tail_dangler
1389730147_26,1389730147,2014,be7a8e7f-f052-5c31-b27b-47d4fee9a265,Evan Gatesman,,direct,2,paradox,butterfly,,tail_dangler
1391189882_217,1391189882,2014,98ce4e04-05ca-56ca-b8c6-83f51c164c89,Vaclav Klouda,,direct,0,ducking,,spinning,head_modifier
1391189882_217,1391189882,2014,98ce4e04-05ca-56ca-b8c6-83f51c164c89,Vaclav Klouda,,direct,1,spinning,ducking,,tail_dangler
1391189882_221,1391189882,2014,6d948954-90cb-5446-9a60-9d4ca0ef4734,Filip Wojcik,,direct,0,stepping,,dimwalk,head_modifier
1417735560_216,1417735560,2015,6d948954-90cb-5446-9a60-9d4ca0ef4734,Filip Wojcik,,direct,2,pixie,fog,,tail_dangler
1417735560_219,1417735560,2015,3de01059-2378-5f56-910f-08e61f3294a1,Roy Klein,,direct,1,pixie,legover,,tail_dangler
1460640850_29,1460640850,2016,05e1eec0-b3f1-5728-8ad2-831de4fc204f,Marco Hartig,,direct,0,pixie,,stepping,head_modifier
1460640850_29,1460640850,2016,05e1eec0-b3f1-5728-8ad2-831de4fc204f,Marco Hartig,,direct,1,stepping,pixie,paradox torque,mid_chain
1467142686_23,1467142686,2016,4f0fcdbc-8dfe-51fc-b92c-b3cda4dd0c00,Marcin Bujko,,context_window,1,spinning,blurry whirl,,tail_dangler
1485863923_56,1485863923,2017,ac1268dc-a961-568f-860e-63e9ea815c01,Damian Gielnicki,,direct,0,spinning,,dimwalk,head_modifier
1485863923_58,1485863923,2017,401af1f3-a976-5403-9740-210e2849f159,Maciej Niczyporuk,,context_window,1,spinning,blurry whirl,,tail_dangler
1519215398_131,1519215398,2018,82c36f56-236f-4496-826b-cf59a6fcc4ed,Rafal Kaleta,,context_window,0,pixie,,torque,head_modifier
1519215398_133,1519215398,2018,9fccb3a3-3408-518a-aacb-43d9678fcce4,Pawel Nowak,,context_window,0,atomic,,ducking butterfly,head_modifier
1519215398_135,1519215398,2018,835fd269-0b77-57fe-9efc-cbdf4b567a8b,Andrey Dyakonov,,context_window,1,ducking,blurriest,,tail_dangler
1519215398_137,1519215398,2018,6d948954-90cb-5446-9a60-9d4ca0ef4734,Filip Wojcik,,context_window,0,ducking,,blurry whirl,head_modifier
1531284609_85,1531284609,2018,8859edda-82f6-5013-97d0-1057cb8bdd3b,Arkadiusz Stanek,,context_window,1,pixie,eggbeater,torque,mid_chain
1531284609_87,1531284609,2018,8859edda-82f6-5013-97d0-1057cb8bdd3b,Arkadiusz Stanek,,context_window,0,atomic,,blurry whirl,head_modifier
1531284609_87,1531284609,2018,8859edda-82f6-5013-97d0-1057cb8bdd3b,Arkadiusz Stanek,,context_window,2,spinning,blurry whirl,,tail_dangler
1531284609_89,1531284609,2018,6d948954-90cb-5446-9a60-9d4ca0ef4734,Filip Wojcik,,direct,2,pixie,fog,,tail_dangler
1536221908_15,1536221908,2018,8a15006e-bc85-5621-bbe6-66090397b7d2,Przemyslaw Pietrzycki,,context_window,0,atomic,,ducking butterfly,head_modifier
1536221908_15,1536221908,2018,8a15006e-bc85-5621-bbe6-66090397b7d2,Przemyslaw Pietrzycki,,context_window,2,stepping,ducking butterfly,,tail_dangler
1536221908_16,1536221908,2018,8a15006e-bc85-5621-bbe6-66090397b7d2,Przemyslaw Pietrzycki,,context_window,1,pixie,eggbeater,torque,mid_chain
1536221908_17,1536221908,2018,4beb2ce2-19e8-5443-9b5b-e221febea787,Andreas Nawrath,,direct,2,spinning,blurry whirl,,tail_dangler
1547415984_45,1547415984,2019,ac1268dc-a961-568f-860e-63e9ea815c01,Damian Gielnicki,,direct,0,spinning,,dimwalk,head_modifier
1547415984_46,1547415984,2019,9fccb3a3-3408-518a-aacb-43d9678fcce4,Pawel Nowak,,direct,0,atomic,,ducking,head_modifier
1547415984_46,1547415984,2019,9fccb3a3-3408-518a-aacb-43d9678fcce4,Pawel Nowak,,direct,1,ducking,atomic,,tail_dangler
1547415984_51,1547415984,2019,0f60f82c-75c9-552f-b962-5832d5cda779,Sergio Garcia,,direct,0,tapping,,butterfly,head_modifier
1623054449_59,1623054449,2021,82c36f56-236f-4496-826b-cf59a6fcc4ed,Rafal Kaleta,,direct,1,ducking,torque,,tail_dangler
1623054449_62,1623054449,2021,9fccb3a3-3408-518a-aacb-43d9678fcce4,Pawel Nowak,,direct,1,tapping,ducking mirage,,tail_dangler
1623054449_63,1623054449,2021,700e0ec0-94b9-5de3-b9a9-8d40a3645de3,Patrik Cerny,,direct,0,spinning,,ducking clipper,head_modifier
1623054449_64,1623054449,2021,ecd47dee-6803-5d73-b31c-dcb9860e767e,Mathieu Gauthier,,direct,1,gyro,drifter,pixie,mid_chain
1623054449_64,1623054449,2021,ecd47dee-6803-5d73-b31c-dcb9860e767e,Mathieu Gauthier,,direct,2,pixie,gyro,,tail_dangler
1623054449_65,1623054449,2021,,,,direct,1,spinning,whirl,,tail_dangler
1623054449_72,1623054449,2021,dfc35597-39c1-5425-8b94-6e24dbc24696,Cass Taylor,,context_window,0,pixie,,ducking butterfly,head_modifier
1623054449_78,1623054449,2021,b0d9cc85-7974-55b2-918a-538fc48484e4,Saiid Shaheen,,direct,0,pixie,,ducking butterfly,head_modifier
1623054449_84,1623054449,2021,aae53613-b61c-53cf-99ea-462a4e768430,Christophe Kabache,,context_window,2,pixie,atom smasher,,tail_dangler
1623054449_86,1623054449,2021,862e03c6-8d7a-5d53-9571-016904a7b7b2,Gary Yao,,direct,1,ducking,spinning butterfly,pixie,mid_chain
1623054449_86,1623054449,2021,862e03c6-8d7a-5d53-9571-016904a7b7b2,Gary Yao,,direct,2,pixie,ducking,,tail_dangler
1623054449_87,1623054449,2021,862e03c6-8d7a-5d53-9571-016904a7b7b2,Gary Yao,,context_window,0,ducking,,pixie,head_modifier
1623054449_87,1623054449,2021,862e03c6-8d7a-5d53-9571-016904a7b7b2,Gary Yao,,context_window,1,pixie,ducking,,tail_dangler
1623054449_90,1623054449,2021,4c4087a3-79f1-5d9a-bf12-ab7262d18014,Diego Velazquez,,context_window,0,ducking,,dimwalk,head_modifier
1740391168_18,1740391168,2025,5a81a6d9-0309-5dc5-aaac-38ef59d8d4ac,Cristopher Schillem,,context_window,1,symposium,eggbeater,,tail_dangler
1740391168_21,1740391168,2025,5a81a6d9-0309-5dc5-aaac-38ef59d8d4ac,Cristopher Schillem,,context_window,0,stepping,,ducking,head_modifier
1740391168_21,1740391168,2025,5a81a6d9-0309-5dc5-aaac-38ef59d8d4ac,Cristopher Schillem,,context_window,1,ducking,stepping,,tail_dangler
1740391168_23,1740391168,2025,17a27155-b5bc-5c72-ac90-602127a1ed24,Andy Nawrath,,context_window,1,paradox,paradox torque,,tail_dangler
989875090_17,989875090,2001,82d0f2bd-ed68-5ec2-a31d-47889d537613,James Risden,,context_window,1,pixie,eggbeater,blurry whirl,mid_chain
