person_id,person_canon,unique_tricks,total_tricks,diversity_ratio,compound_tricks,modifier_tokens,top_tricks,year_first,year_last
6e44e429-b91f-59b8-92f4-58a859a3c2f4,Jordan Chiu,3,3,1.0,3,0,blur | ducking butterfly | torque,2021,2021
835fd269-0b77-57fe-9efc-cbdf4b567a8b,Andrey Dyakonov,3,3,1.0,2,1,blurriest | ducking | torque,2018,2018
9f78fe69-1a0c-57be-a6eb-2c8e08f6ceac,Allen Sneed,3,3,1.0,3,0,ducking clipper | butterfly | pickup,2021,2021
a2823c8b-27b9-5f22-95cd-58af9770f3a6,Josh Owens,3,3,1.0,2,1,ducking mirage | butterfly | pixie,2002,2002
ac1ba46f-f0b2-522d-839c-6b342f20719f,Weber Honza,3,3,1.0,2,1,blender | pixie | fog,2004,2004
ac5e2112-c6cb-58f1-869d-6f6f8a63d13b,John Mahood,3,3,1.0,2,1,clipper | atomic | whirl,2006,2006
b3a275df-fe1c-58b4-967b-d0396cec4211,Dominik Šimků,3,3,1.0,2,1,food processor | spinning | blender,2018,2022
ba572db5-f29d-52b3-aedb-ee41a49a9930,Paully O'Reilly,3,3,1.0,3,0,clipper | ripwalk | blur,2002,2002
baab18da-920b-51d7-984d-688c23e82219,Nick Laroche,3,3,1.0,2,1,spinning whirl | eggbeater | blazing,2007,2007
bd9edb36-ddd6-5fa8-b46f-aad4e708716d,Alexander Faber,3,3,1.0,2,1,spinning butterfly | ripwalk | gyro,2002,2002
d31ec18e-4fa1-5538-8eac-b7d5fcab24c6,Hannia Mickiewicz,3,3,1.0,3,0,paradox whirl | dimwalk | ripwalk,2010,2010
d53d0dae-9c1e-5773-a133-e42829b7a2ae,Chris Miller,3,3,1.0,3,0,ducking clipper | butterfly | mirage,2006,2006
d5f5db2b-ce60-529e-a488-cf14e8dfdeee,Roman Huber,3,3,1.0,3,0,blender | torque | whirl,2018,2018
da2cbc95-e09b-5a22-9baf-00e25552c9b6,Greg Nelson,3,3,1.0,3,0,paradox drifter | paradox torque | paradox whirl,2002,2002
e3d94c0b-8963-5e74-bc7c-5efb703a22b4,Christian Britting,3,3,1.0,3,0,dimwalk | atom smasher | whirl,2019,2019
e49165b1-b378-5ac5-b92e-566abacd386f,Christian Mills,3,3,1.0,3,0,butterfly | ripwalk | osis,2003,2003
e5048c10-39e3-5f80-8b88-0512fb2d8089,Jeremy Benton,3,3,1.0,3,0,paradox torque | blurry whirl | osis,2002,2002
ec487576-891e-5f91-8652-420c0930a1d1,François Perreault,3,3,1.0,2,1,ducking butterfly | pixie | whirl,2001,2001
f4f5b8d0-c503-5ae5-8ce5-c5ff07d630c4,Bruce Li,3,3,1.0,3,0,drifter | atom smasher | mirage,2018,2018
fa9c1c3c-795a-5514-aa34-078539dd60be,Yuito Watanuki,3,3,1.0,3,0,ducking butterfly | ducking osis | butterfly,2021,2021
fee1cb85-f33e-525c-a1f1-7d7cf652d6d3,Michael Nielson,3,3,1.0,3,0,spinning clipper | dimwalk | smear,2006,2006
b7d020fd-3376-5224-9aa6-d56ae56ad9cb,Taishi Ishida,2,4,0.5,2,0,blurry whirl | whirl,2014,2019
10f0e26c-4ec9-5916-bc9b-ff587c0681d4,Eric Chan,2,3,0.667,1,1,rev whirl | stepping,2007,2007
70f84b64-5ac5-5082-91ac-8ad71f54b127,Leimar Salas,2,3,0.667,2,0,ducking butterfly | ducking osis,2021,2021
9ffd9877-c7d3-5bdb-a4d0-cc00e8225245,Kenny Perng,2,3,0.667,2,0,clipper | mirage,2006,2006
a16f307e-68d5-5ad4-be8f-234aeefc45fc,Joel Roset,2,3,0.667,1,1,legover | pixie,2006,2006
a737859a-35f6-51c8-9cd1-d5f54f88b8dd,Gosia Debska,2,3,0.667,2,0,butterfly | osis,2010,2010
e34eef4f-ee11-5919-ba62-9db5d0489e83,Ivan Iakimenko,2,3,0.667,2,0,butterfly | mirage,2018,2018
0a33a41b-8363-572e-90a0-39ae1e107ede,Arek Stanek,2,2,1.0,2,0,food processor | torque,2019,2019
218b51ae-f5be-5230-bb26-10aa2981036c,Riku Ahola,2,2,1.0,1,1,symposium | swirl,2005,2005
256ba155-76d2-5920-b2d6-04d6ff39fab6,DANIEL BOYLE,2,2,1.0,2,0,dimwalk | blur,2015,2015
