chain_id,event_id,year,person_id,person_canon,attribution_confidence,sequence_index,trick_canon,adds,score_method
1337617980_83,1337617980,2012,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,context_window,1,food processor,6.0,direct
1337617980_84,1337617980,2012,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,context_window,0,fusion,5.0,direct
1337617980_84,1337617980,2012,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,context_window,1,eggbeater,3.0,direct
1337617980_85,1337617980,2012,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,context_window,0,ripwalk,4.0,direct
1337617980_85,1337617980,2012,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,context_window,1,legover,2.0,direct
1337617980_86,1337617980,2012,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,context_window,0,paradox drifter,4.0,direct
1337617980_86,1337617980,2012,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,context_window,1,paradox,,unscored
1337617980_86,1337617980,2012,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,context_window,2,whirl,3.0,direct
1337617980_87,1337617980,2012,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,context_window,0,dimwalk,4.0,direct
1337617980_87,1337617980,2012,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,context_window,1,paradox whirl,4.0,direct
1337617980_88,1337617980,2012,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,context_window,0,barfly,4.0,direct
1337617980_88,1337617980,2012,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,context_window,1,swirl,3.0,direct
1357206898_28,1357206898,2013,,,none,0,ducking,,unscored
1357206898_28,1357206898,2013,,,none,1,blender,4.0,direct
1357206898_29,1357206898,2013,,,none,0,swirl,3.0,direct
1357206898_29,1357206898,2013,,,none,1,torque,4.0,direct
1357206898_30,1357206898,2013,,,none,0,blurry whirl,5.0,direct
1357206898_30,1357206898,2013,,,none,1,superfly,5.0,direct
