event_id,division_canon,person_canon,places,message
857880054,Open Singles Net,Grant Corbett,"[1, 3]","[sub_round] event=857880054 div='Open Singles Net' person='Grant Corbett' places=[1, 3] (pool/heat/round-robin)"
917278465,Open Golf,Be Announced,"[2, 3]","[adjacent_podium] event=917278465 div='Open Golf' person='Be Announced' places=[2, 3] (dual-division or heat/final)"
941418343,Open Singles Freestyle,Tuan Vu,"[7, 21]","[sub_round] event=941418343 div='Open Singles Freestyle' person='Tuan Vu' places=[7, 21] (pool-play-heavy event)"
981560223,Mens Open Freestyle,Christian Dubuis,"[2, 5]","[sub_round] event=981560223 div='Mens Open Freestyle' person='Christian Dubuis' places=[2, 5] (roundy-division heuristic net/freestyle/shred etc.)"
992517335,Shred:30,Heikki Rautio,"[10, 12]","[sub_round] event=992517335 div='Shred:30' person='Heikki Rautio' places=[10, 12] (pool/heat/round-robin)"
992517335,Sick 5,Heikki Rautio,"[10, 12]","[sub_round] event=992517335 div='Sick 5' person='Heikki Rautio' places=[10, 12] (pool/heat/round-robin)"
999985344,Footbag Freestyle Overall,Ermo Naarits,"[2, 3]","[adjacent_podium] event=999985344 div='Footbag Freestyle Overall' person='Ermo Naarits' places=[2, 3] (dual-division or heat/final)"
999985344,Footbag Freestyle Overall,Uve Poom,"[3, 5]","[sub_round] event=999985344 div='Footbag Freestyle Overall' person='Uve Poom' places=[3, 5] (pool/heat/round-robin)"
999985344,Footbag Freestyle Overall,Reimo Oun,"[5, 9]","[sub_round] event=999985344 div='Footbag Freestyle Overall' person='Reimo Oun' places=[5, 9] (roundy-division heuristic net/freestyle/shred etc.)"
999985344,Footbag Freestyle Overall,Janar Stamm,"[4, 8]","[sub_round] event=999985344 div='Footbag Freestyle Overall' person='Janar Stamm' places=[4, 8] (roundy-division heuristic net/freestyle/shred etc.)"
