effective_person_id,person_canon,player_ids_seen,player_names_seen,aliases,alias_statuses,notes,source,person_canon_clean,person_canon_clean_reason,aliases_presentable,exclusion_reason,last_token,norm_key,legacyid
7db91655-737a-5c40-8884-e5215f5b2cab,Dominic Bédard,3a79b2e0-f909-5a18-8e9c-af3f785e026e,Dominic Bédard,,,,overrides+data,Dominic Bédard,,,,bédard,,
2367d506-3a7b-5532-9c55-3f970c46cf8c,Dominic O'Brien,03c91d97-5c17-5bb7-b269-d4c9c5076162 | 2b1fd791-ae22-52a8-8516-453f7c80a769 | a2a33ab7-7e76-5cec-8ada-4c99b827e9b2 | cb342ee5-f75d-5a4e-8c11-9c747f98dd85 | e75e6f60-121f-59e1-9c1c-3a8a059066d9,Dominic O'Brien,,,,overrides+data,Dominic O'Brien,,Dominic O?Brien,,o'brien,,
2bf23e27-bb5b-5f4e-a5a7-8103a615b22a,Dominic Soulard,538e487d-27c7-5770-9609-4a76199e553b | 6e4ef6cd-2cc8-536d-a7df-61766f212b33,Dominic Soulard,,,,overrides+data,Dominic Soulard,,,,soulard,,
9e51cb21-c122-54b7-93a6-8f5a3b69365c,Dominik Knoll,4c8e4348-ef25-5261-bf3d-0eebeef2c175 | 9308054f-e025-5747-bfa5-fd2997752efd,Dominik Knoll,,,,overrides+data,Dominik Knoll,,,,knoll,,
7ca5220d-9756-5d12-85cc-a1a14f550aae,Dominik Rutz,8d261a1f-f163-5ddd-937f-ad455f441513 | da34a751-2447-5c5b-9df1-f4f7d24135ab,Dominik Rutz,,,,overrides+data,Dominik Rutz,,,,rutz,,
b3a275df-fe1c-58b4-967b-d0396cec4211,Dominik Šimků,3c8d82e2-e6a0-5382-bd34-3ac67ffb93f0 | e820023e-fc97-5320-a99e-36ed9921ff84,Dominik Simku,,,,overrides+data,Dominik Šimků,,,,simku,,81976.0
1c3a4a2b-31a8-5dd9-98f7-ee6c30ebcc29,Dominique Soulard,07413c17-556e-5247-9630-ce22cb759cbd | 1e3844f9-a3f3-5b58-b312-75daa5a5e021 | 820e3fee-b216-5761-869e-22a92487dc41 | 8352c832-64d6-5d3c-8c7b-c54a882650e3 | b2821d17-e8dc-5251-9af4-6886f087cdec | d9728c28-1785-5a0d-966a-a643ae14f4c5,Dominique Soulard,,,,overrides+data,Dominique Soulard,,Domnique Soulard,,soulard,,
000932eb-8521-5af4-a1bc-5acb590c19d5,Don Hart,e9c5bba2-82f3-592d-892b-a0433a1ca2fb,Don Hart,,,,overrides+data,Don Hart,,,,hart,,
4c3321eb-1528-530b-8f38-c42260d9af08,Donner Oleg,c87da38d-68fd-5871-9e01-e1a913d38e33,Donner Oleg,,,,overrides+data,Donner Oleg,,,,oleg,,
34c78cca-a668-5a9e-93b7-8bee2f6f6da1,Dorka Szaszkó,cfefe44d-e2b7-59ab-ac1a-005c6226839f,Dorka Szaszkó,,,,overrides+data,Dorka Szaszkó,,,,szaszkó,,
