result_id,canonical_event_id,division_raw,place,player_raw,team_raw,source_event_id,source_type
4cbf7010bc,1985_wfa_nationals,Open Dbls Net,1,,Kenny Shults/Mike Harding,a7e1c7efa7,FBW
c8b42b5066,1985_wfa_nationals,Open Dbls Net,2,,Mag Hughes/Billy Hayne,a7e1c7efa7,FBW
9cb35882ec,1985_wfa_nationals,Open Dbls Net,3,,Jim Caveney/Dave Robinson,a7e1c7efa7,FBW
578d8c715d,1985_wfa_nationals,Women's Sgls Net,1,Tricia George,,a7e1c7efa7,FBW
2c75b7b169,1985_wfa_nationals,Women's Sgls Net,2,Nancy Reynolds,,a7e1c7efa7,FBW
4d64d3a78d,1985_wfa_nationals,Women's Sgls Net,3,Trudy Archdale,,a7e1c7efa7,FBW
2224538390,1985_wfa_nationals,Women's Dbls Net,1,,Nancy Reynolds/Tricia George,a7e1c7efa7,FBW
3cc053933b,1985_wfa_nationals,Women's Dbls Net,2,,Constance Constable/Trudy Archdale,a7e1c7efa7,FBW
423392d4af,1985_wfa_nationals,Women's Dbls Net,3,,Linda Burt/Suzanne Beauchemin,a7e1c7efa7,FBW
702c9aabf0,1985_wfa_nationals,Mixed Dbls Net,1,,Tricia George/Dave Robinson,a7e1c7efa7,FBW
b6d38cb659,1985_wfa_nationals,Mixed Dbls Net,2,,Trudy Archdale/Bruce Guettich,a7e1c7efa7,FBW
f5f4fd8437,1985_wfa_nationals,Mixed Dbls Net,3,,Constance Constable/Jim Caveney,a7e1c7efa7,FBW
4fb1b6b50a,1985_wfa_nationals,Open Sgls Freestyle,1,Kenny Shults,,a7e1c7efa7,FBW
8c815d1080,1985_wfa_nationals,Open Sgls Freestyle,2,Dennis Ross,,a7e1c7efa7,FBW
bba60dd30e,1985_wfa_nationals,Open Sgls Freestyle,3,Jack Schoolcraft,,a7e1c7efa7,FBW
63be9817f8,1985_wfa_nationals,Open Team Freestyle,1,,Bruce Guettich/Greg Cortopassi,a7e1c7efa7,FBW
e7aa5fd623,1985_wfa_nationals,Open Team Freestyle,2,,Scott Cleere/Bill Bethurum,a7e1c7efa7,FBW
9777d6e24e,1985_wfa_nationals,Open Team Freestyle,3,,Brent Welch/Bill Langbehn,a7e1c7efa7,FBW
09d3d80f9b,1985_wfa_nationals,Women's Sgls Freestyle,1,Nancy Reynolds,,a7e1c7efa7,FBW
3e2ab9f484,1985_wfa_nationals,Women's Team Freestyle,1,,Tricia George/Jodi Sebastian,a7e1c7efa7,FBW
9f1daaed99,1985_wfa_nationals,Women's Team Freestyle,2,,Constance Constable/Kim Era,a7e1c7efa7,FBW
61f84722ea,1985_wfa_nationals,Open Sgls Consecutive,1,Andy Linder,,a7e1c7efa7,FBW
33738329f2,1985_wfa_nationals,Open Sgls Consecutive,2,Pat Castle,,a7e1c7efa7,FBW
1e628d85b4,1985_wfa_nationals,Open Sgls Consecutive,3,Fred Barnum,,a7e1c7efa7,FBW
10e6bb7299,1985_wfa_nationals,Open Dbls Consecutive,1,,Jack Schoolcraft/Pat Castle,a7e1c7efa7,FBW
9ec5a31726,1985_wfa_nationals,Open Dbls Consecutive,2,,Chris Ott/Jeff Johnson,a7e1c7efa7,FBW
cdf074c8e9,1985_wfa_nationals,Open Dbls Consecutive,3,,Jon Lind/Dennis Ross,a7e1c7efa7,FBW
200966ab89,1986_worlds_golden,Men's Overall,1,Kenny Shults,,549ebc61ff,FBW
8a606ba8b4,1986_worlds_golden,Women's Overall,1,Tricia George,,549ebc61ff,FBW
9d0f6e9bb3,1986_worlds_golden,Open Sgls Net,1,Mag Hughes,,549ebc61ff,FBW
3ce96ecbb6,1986_worlds_golden,Open Sgls Net,2,Dave Robinson,,549ebc61ff,FBW
763957a5b0,1986_worlds_golden,Open Sgls Net,3,Kenny Shults,,549ebc61ff,FBW
ed350252b3,1986_worlds_golden,Open Dbls Net,1,,Kenny Shults/Mike Harding,549ebc61ff,FBW
89e7ab5a9a,1986_worlds_golden,Open Dbls Net,2,,Mag Hughes/Billy Hayne,549ebc61ff,FBW
cc5eee263f,1986_worlds_golden,Open Dbls Net,3,,Jim Caveney/Dave Robinson,549ebc61ff,FBW
aadb2b58fb,1986_worlds_golden,Women's Sgls Net,1,Tricia George,,549ebc61ff,FBW
ded1873b47,1986_worlds_golden,Women's Sgls Net,2,Nancy Reynolds,,549ebc61ff,FBW
f653acb622,1986_worlds_golden,Women's Sgls Net,3,Jodi Sebastian,,549ebc61ff,FBW
d65e8c0b51,1986_worlds_golden,Women's Dbls Net,1,,Nancy Reynolds/Tricia George,549ebc61ff,FBW
70ed462d12,1986_worlds_golden,Women's Dbls Net,2,,Constance Constable/Jodi Sebastian,549ebc61ff,FBW
7ad0a3f708,1986_worlds_golden,Women's Dbls Net,3,,Linda Burt/Trudy Archdale,549ebc61ff,FBW
ae589cca2a,1986_worlds_golden,Mixed Dbls Net,1,,Tricia George/Dave Robinson,549ebc61ff,FBW
7296f8689d,1986_worlds_golden,Mixed Dbls Net,2,,Trudy Archdale/Bruce Guettich,549ebc61ff,FBW
1ffd6cf261,1986_worlds_golden,Mixed Dbls Net,3,,Constance Constable/Jim Caveney,549ebc61ff,FBW
7b58e37102,1986_worlds_golden,Open Sgls Freestyle,1,Kenny Shults,,549ebc61ff,FBW
3a2033be5b,1986_worlds_golden,Open Sgls Freestyle,2,Dennis Ross,,549ebc61ff,FBW
