person_id,person_canon,source_scope,person_status,aliases,notes
619a16fc-fe87-552c-b882-b92d96d15588,Richard Cook,POST1997,ESTABLISHED,,Referenced in 1995/1996 verified_new events
e3000de1-60fa-51e1-bc35-98a860fadd6b,Kelly Kelley,POST1997,ESTABLISHED,,Referenced in 1995/1996 verified_new events
a1cf399e-b52c-5ffe-9b80-10df4e20232f,Ida Fogle,POST1997,ESTABLISHED,,Referenced in 1995/1996 verified_new events
ff744d13-860e-5ab6-8920-dac66414b828,Sam Conlon,POST1997,ESTABLISHED,,Referenced in 1995/1996 verified_new events
e333a5e6-3d76-513c-a9a4-f34c09c31b96,Jody Welch,POST1997,ESTABLISHED,,Referenced in 1995/1996 verified_new events
fe2c05c8-4093-5304-9433-9793630542f5,Derrick Fogle,POST1997,ESTABLISHED,,Referenced in 1995/1996 verified_new events
6bddaecf-3335-5caf-ab0c-51a97fce26e2,Steve Smith,POST1997,ESTABLISHED,,Referenced in 1995/1996 verified_new events
96dfe510-dfff-53b3-a7ce-7bcc852778c8,Juliet Pendray,POST1997,ESTABLISHED,,Referenced in 1995/1996 verified_new events
ed0fa218-2a4b-5697-a596-9ee141732268,Kerry Chun,POST1997,ESTABLISHED,,Referenced in 1995/1996 verified_new events
64337714-3133-53d6-b29a-511ae9f14920,Greg Durrett,POST1997,ESTABLISHED,,Referenced in 1995/1996 verified_new events
c2da6bcd-ccc4-5ecf-8e49-d1c4ef4260b9,Randy Mulder,POST1997,ESTABLISHED,,Referenced in 1995/1996 verified_new events
274d2f51-e2d5-5458-be40-6b9211ff813e,Scott Davidson,POST1997,ESTABLISHED,,Referenced in 1995/1996 verified_new events
455dc678-0d04-58c3-a92f-7f2bdbfecf08,Dany Borsky,POST1997,ESTABLISHED,,Referenced in 1995/1996 verified_new events
f995558d-69d9-557a-892a-0e695d85250b,Lisa McDaniel,POST1997,ESTABLISHED,,Referenced in 1995/1996 verified_new events
08ecb6e2-5ae2-539e-a4be-41cb2d98524b,Garth Smith,POST1997,ESTABLISHED,,Referenced in 1995/1996 verified_new events
299071d7-2781-514f-93b1-6b7a7059ab8a,Evanne Lamarche,POST1997,ESTABLISHED,,Referenced in 1995/1996 verified_new events
5439339f-3ef7-59be-9759-8b426d77d4d5,Lisa Monti,POST1997,ESTABLISHED,,Referenced in 1995/1996 verified_new events
da2cbc95-e09b-5a22-9baf-00e25552c9b6,Greg Nelson,POST1997,ESTABLISHED,,Referenced in 1995/1996 verified_new events
bd97ebe2-5ecd-5854-9d2e-b877a27ac527,Daryl Genz,POST1997,ESTABLISHED,,Referenced in 1995/1996 verified_new events
79adde13-a415-5c0c-acc0-6c30e2caa012,Andrew Morgan,POST1997,ESTABLISHED,,Referenced in 1995/1996 verified_new events
6d50650f-7f41-5484-894f-74986085f48b,Martin Cote,POST1997,ESTABLISHED,,Referenced in 1995/1996 verified_new events
d0fd4b0a-a59e-525d-a918-eefb16c70e80,Martin Graton,POST1997,ESTABLISHED,,Referenced in 1995/1996 verified_new events
28565dd0-2196-5404-bf23-6cf0617ce79b,Tuan Vu,POST1997,ESTABLISHED,,Referenced in 1995/1996 verified_new events
092d4205-dbd7-59e7-8ec4-53b306eb83b3,Justin Sexton,POST1997,ESTABLISHED,,Referenced in 1995/1996 verified_new events
f413723f-232b-584c-a416-47ed2066d79e,Eric Lardinois,POST1997,ESTABLISHED,,Referenced in 1995/1996 verified_new events
93d75393-13d7-55c0-b23e-cf0c9a077583,Becca English-Ross,POST1997,ESTABLISHED,,Auto-added: referenced in verified_new events
54e16a85-0204-5ef1-aa92-a09c9af8ae1c,Tina Lewis,POST1997,ESTABLISHED,,Auto-added: referenced in verified_new events
82cfc9df-6d3b-5021-8cb6-fe84981e940d,Sean Flynn,POST1997,ESTABLISHED,,Auto-added: referenced in verified_new events
542be6a9-3b5a-5374-961b-9de19c0def7a,Peter Irish,POST1997,ESTABLISHED,,Auto-added: referenced in verified_new events
adc70b9b-7496-5ded-8feb-fdc8e9c5d21c,Julie Symons,POST1997,ESTABLISHED,,Auto-added: referenced in verified_new events
b63b58da-fe12-59da-92d6-15726472e38b,Carol Wedemeyer,POST1997,ESTABLISHED,,Auto-added: referenced in verified_new events
e8b82661-4428-5e51-a786-29bf7a23728f,Eric Wulff,POST1997,ESTABLISHED,,Auto-added: referenced in verified_new events
fea99a91-ae13-5cb1-b87f-3c352783dc2e,Geneviève Bousquet,POST1997,ESTABLISHED,,Auto-added: referenced in verified_new events
75ffbeae-598c-5593-8e64-b3163c809b9c,Jukka Peltola,POST1997,ESTABLISHED,,Auto-added: referenced in verified_new events
c0ba05a1-16a9-51e0-bcf5-7f6b879710a9,Sebastien Verdy,POST1997,ESTABLISHED,,Auto-added: referenced in verified_new events
691f48a0-1dbd-5ef5-99ea-13615a7437d2,Yves Archambault,POST1997,ESTABLISHED,,Auto-added: referenced in verified_new events
f1e2640c-48ae-588d-99bc-7b55713191f0,Manu Bouchard,POST1997,ESTABLISHED,,Auto-added: referenced in verified_new events
760941c4-9426-56f1-ac79-e8ad3ce9cf98,Andrew Ronald,POST1997,ESTABLISHED,,Auto-added: referenced in verified_new events
