event_id,year,event_name,event_type,division_raw,division_canon,place,competitor_type,player1_name,player2_name
2001983001,1983,World Championships 1983 (NHSA),mixed,TEAM FREESTYLE,Team Freestyle,1,team,David Robinson,Kevin Courtney
2001983001,1983,World Championships 1983 (NHSA),mixed,TEAM FREESTYLE,Team Freestyle,2,team,Jack Schoolcraft,Will Squire
2001984001,1984,World Championships 1984,mixed,INTERMEDIATESINGLES NET,Intermediatesingles Net,1,player,Tom Akin,
2001984001,1984,World Championships 1984,mixed,WOMEN'S SINGLES NET,Women's Singles Net,1,player,Nancy Reynolds,
2001984001,1984,World Championships 1984,mixed,WOMEN'S SINGLES NET,Women's Singles Net,2,player,Tricia George,
2001984001,1984,World Championships 1984,mixed,WOMEN'S SINGLES NET,Women's Singles Net,3,player,Trudy Archdale,
2001984001,1984,World Championships 1984,mixed,WOMEN'S DOUBLES NET,Women's Doubles Net,1,team,Nancy Reynolds,Tricia George
2001984001,1984,World Championships 1984,mixed,WOMEN'S DOUBLES NET,Women's Doubles Net,1,team,Constance Constable,Jenny Davison
2001984001,1984,World Championships 1984,mixed,WOMEN'S DOUBLES NET,Women's Doubles Net,2,team,Jodi Chandler,Shannon Storment
2001984001,1984,World Championships 1984,mixed,WOMEN'S ULTRA SINGLES NET,Women's Ultra Singles Net,1,player,Nancy Reynolds,
2001984001,1984,World Championships 1984,mixed,WOMEN'S ULTRA SINGLES NET,Women's Ultra Singles Net,2,player,Cheryl Hughes,
2001984001,1984,World Championships 1984,mixed,WOMEN'S ULTRA SINGLES NET,Women's Ultra Singles Net,3,player,Tricia George,
2001984001,1984,World Championships 1984,mixed,WOMEN'S SINGLES CONSECUTIVE KICKS,Women's Singles Consecutive Kicks,1,player,Jodi Chandler,
2001984001,1984,World Championships 1984,mixed,WOMEN'S SINGLES CONSECUTIVE KICKS,Women's Singles Consecutive Kicks,2,player,Tricia George,
2001984001,1984,World Championships 1984,mixed,WOMEN'S SINGLES CONSECUTIVE KICKS,Women's Singles Consecutive Kicks,1,player,Constance Constable,
2001984001,1984,World Championships 1984,mixed,WOMEN'S DOUBLES CONSECUTIVE KICKS,Women's Doubles Consecutive Kicks,1,team,Jodi Chandler,Tricia George
2001984001,1984,World Championships 1984,mixed,WOMEN'S DOUBLES CONSECUTIVE KICKS,Women's Doubles Consecutive Kicks,2,team,Constance Constable,Vanessa Sabala
2001984001,1984,World Championships 1984,mixed,WOMEN'S DOUBLES CONSECUTIVE KICKS,Women's Doubles Consecutive Kicks,3,team,Ruth Osterman,Vanessa Sabala
2001984001,1984,World Championships 1984,mixed,WOMEN'S DOUBLES CONSECUTIVE KICKS,Women's Doubles Consecutive Kicks,1,team,Constance Constable,Suzanne Beauchemin
