person_id,person_canon,trick_canon,trick_type,mentions,first_year,last_year,event_count,sample_event,sample_line
71501d92-2a94-5c78-9fe7-8cc7c58de04b,Augustin Tiffaud,ducking,style_term,1,2006,2006,1,,"2. Augustin Tiffaud ""Atomic Ducking Butterfly"""
4ea3ca6a-daf2-5ea6-aa76-f521e7cac688,Augustin Tiffou,dimwalk,full_trick,1,2008,2008,1,,3. Augustin Tiffou ? Dimwalk > drifter > far legover
4ea3ca6a-daf2-5ea6-aa76-f521e7cac688,Augustin Tiffou,drifter,full_trick,1,2008,2008,1,,3. Augustin Tiffou ? Dimwalk > drifter > far legover
4ea3ca6a-daf2-5ea6-aa76-f521e7cac688,Augustin Tiffou,tapping,style_term,1,2008,2008,1,,2. Augustin Tiffou ? Tapping double legover
e719220a-29e0-5844-869b-58c53a0b88b9,Bartosz Bubula,blurry whirl,full_trick,1,2010,2010,1,,1. Bartosz Bubula (Alpine Blurry Whirl > Bedwetter > Open Near Symposium Double
e719220a-29e0-5844-869b-58c53a0b88b9,Bartosz Bubula,ducking,style_term,1,2012,2012,1,,3. Bartosz Bubula (Alpin Legbeater> Bedwetter> Pixie Ducking Swirl) (Poland)
e719220a-29e0-5844-869b-58c53a0b88b9,Bartosz Bubula,fog,full_trick,1,2009,2009,1,,6. Bartosz Bubula (Ripwarrior > Fog > Fusion)
e719220a-29e0-5844-869b-58c53a0b88b9,Bartosz Bubula,pixie,style_term,1,2012,2012,1,,3. Bartosz Bubula (Alpin Legbeater> Bedwetter> Pixie Ducking Swirl) (Poland)
e719220a-29e0-5844-869b-58c53a0b88b9,Bartosz Bubula,symposium,style_term,1,2010,2010,1,,1. Bartosz Bubula (Alpine Blurry Whirl > Bedwetter > Open Near Symposium Double
e719220a-29e0-5844-869b-58c53a0b88b9,Bartosz Bubula,whirl,full_trick,1,2010,2010,1,,1. Bartosz Bubula (Alpine Blurry Whirl > Bedwetter > Open Near Symposium Double
cb2f5aeb-165a-5e47-96a0-b80622a0d252,Ben Barrows,dimwalk,full_trick,1,2006,2006,1,,3. ben barrows - smog>dimwalk>ps whirl
cb2f5aeb-165a-5e47-96a0-b80622a0d252,Ben Barrows,whirl,full_trick,1,2006,2006,1,,3. ben barrows - smog>dimwalk>ps whirl
0fa81d44-72e1-5170-966c-f4ecadd319a7,Ben Elynn,paradox mirage,full_trick,1,2002,2002,1,,3 - Ben Elynn (ripwalk>ripwalk>paradox mirage)
9ccb1c1b-89e0-5406-9e37-a287f34a84d8,Ben Schmaltz,pixie,style_term,1,2003,2003,1,,"5th) Ben Schmaltz: Pixie REVERSE Whirling-Swirl (NICE JOB, BEN! - this guy"
9ccb1c1b-89e0-5406-9e37-a287f34a84d8,Ben Schmaltz,symposium,style_term,1,2007,2007,1,,6. Ben Schmaltz (Blurry Symposium Reverse Whirling Swirl)
f825bd42-5056-55c5-8a4c-ba0788615e01,Ben Skaggs,torque,full_trick,1,2008,2008,1,,2 Ben Skaggs blurrywhirl>p.s. whirl>paradox torque
f825bd42-5056-55c5-8a4c-ba0788615e01,Ben Skaggs,whirl,full_trick,1,2008,2008,1,,2 Ben Skaggs blurrywhirl>p.s. whirl>paradox torque
77de2a9d-0785-5fea-bc31-e614ae622492,Benny Kellman,spinning clipper,full_trick,1,2007,2007,1,,2nd - Benny Kellman - Diving Clipper > Spinning Clipper > Spinning Paradox Dragonfly
c448d0ea-1fd7-5477-89bf-ef54258ab246,Bob Glasser,pixie,style_term,1,2002,2002,1,,type of pixie duck that'd throw me back again. Bob Glasser came with his fairy
