chain_id,event_id,year,person_id,person_canon,match_type,attribution_confidence,sequence_index,normalized_trick,original_tokens,merge_window,was_merged,adds,merge_method
1127155729_16,1127155729,2005,befb0f76-73f3-5021-bfa3-b62e1c6400bd,Piotr Czaja,,context_window,0,whirl,whirl,1,False,3.0,direct
1127155729_16,1127155729,2005,befb0f76-73f3-5021-bfa3-b62e1c6400bd,Piotr Czaja,,context_window,1,superfly,superfly,1,False,5.0,direct
1127155729_17,1127155729,2005,3a35aed5-508b-5278-847d-8a49e80d7b6f,Tomek Ostrowski,,direct,0,torque,torque,1,False,4.0,direct
1127155729_17,1127155729,2005,3a35aed5-508b-5278-847d-8a49e80d7b6f,Tomek Ostrowski,,direct,1,whirl,whirl,1,False,3.0,direct
1127155729_18,1127155729,2005,a3781ac2-c529-5316-b22b-2bdcfa67bb67,Damian Budzik,,direct,0,blender,blender,1,False,4.0,direct
1127155729_18,1127155729,2005,a3781ac2-c529-5316-b22b-2bdcfa67bb67,Damian Budzik,,direct,1,whirl,whirl,1,False,3.0,direct
1127155729_19,1127155729,2005,495fbdce-986d-523e-9b01-f699a035c4ef,Tomasz Wróbel,,direct,0,dimwalk,dimwalk,1,False,4.0,direct
1127155729_19,1127155729,2005,495fbdce-986d-523e-9b01-f699a035c4ef,Tomasz Wróbel,,direct,1,ripwalk,ripwalk,1,False,4.0,direct
1135116604_120,1135116604,2006,04a43526-37ba-5ea0-a01c-8e357a694c42,Felix Zenger,,direct,0,superfly,superfly,1,False,5.0,direct
1135116604_120,1135116604,2006,04a43526-37ba-5ea0-a01c-8e357a694c42,Felix Zenger,,direct,1,blender,blender,1,False,4.0,direct
1135116604_121,1135116604,2006,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,,direct,0,torque,torque,1,False,4.0,direct
1135116604_121,1135116604,2006,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,,direct,1,superfly,superfly,1,False,5.0,direct
1135116604_124,1135116604,2006,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,,context_window,0,flurry,flurry,1,False,3.0,direct
1135116604_124,1135116604,2006,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,,context_window,1,pixie,pixie,1,False,2.0,unresolved_modifier
1135116604_125,1135116604,2006,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,,context_window,0,stepping,stepping,1,False,,unresolved_modifier
1135116604_125,1135116604,2006,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,,context_window,1,spinning,spinning,1,False,,unresolved_modifier
1135116604_125,1135116604,2006,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,,context_window,2,spinning,spinning,1,False,,unresolved_modifier
1135116604_126,1135116604,2006,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,,context_window,0,butterfly,butterfly,1,False,3.0,direct
1135116604_126,1135116604,2006,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,,context_window,1,ripwalk,ripwalk,1,False,4.0,direct
1135116604_126,1135116604,2006,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,,context_window,2,whirl,whirl,1,False,3.0,direct
1137347261_10,1137347261,2006,162332af-26d3-557e-9bf8-ff21c226fbaf,Dylan Johnson,,context_window,0,parkwalk,parkwalk,1,False,4.0,direct
