chain_id,event_id,year,person_id,person_canon,match_type,attribution_confidence,original_length,normalized_length,tokens_consumed_by_merges,merges_performed,scored_count,unscored_count,sequence_add,avg_add,max_add,tricks_normalized
1096318324_31,1096318324,2004,ab216b72-e80d-526e-ba50-e8dd93866623,Ricky Moran,,context_window,2,2,0,0,2,0,6.0,3.0,3.0,whirl>whirl
1102576153_68,1102576153,2005,04a43526-37ba-5ea0-a01c-8e357a694c42,Felix Zenger,,direct,3,3,0,0,2,1,9.0,3.0,5.0,blender>superfly>spinning
1102576153_69,1102576153,2005,1e09ba09-ec4b-5961-8b95-e0d638dc4f5c,Jan Weber,,direct,2,2,0,0,2,0,9.0,4.5,5.0,torque>paradox blender
1109682847_10,1109682847,2005,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,,direct,2,2,0,0,2,0,9.0,4.5,5.0,fog>spinning osis
1109682847_11,1109682847,2005,5c134542-d0b3-55f2-8c4c-413ccb2e9d15,Ilja Mitrofanov,,direct,2,2,0,0,2,0,9.0,4.5,5.0,blurry whirl>paradox whirl
1109682847_9,1109682847,2005,04a43526-37ba-5ea0-a01c-8e357a694c42,Felix Zenger,,direct,2,2,0,0,1,1,3.0,1.5,3.0,whirl>spinning
1114277529_16,1114277529,2005,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,,direct,2,2,0,0,1,1,4.0,2.0,4.0,ducking>torque
1114277529_17,1114277529,2005,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,,context_window,2,2,0,0,2,0,8.0,4.0,5.0,fusion>eggbeater
1124840254_13,1124840254,2005,bf5ce745-18b5-50b5-87a5-b2af6ffbf21c,Byrin Wylie,,context_window,2,2,0,0,2,0,8.0,4.0,4.0,torque>torque
1124840254_14,1124840254,2005,bf5ce745-18b5-50b5-87a5-b2af6ffbf21c,Byrin Wylie,,context_window,2,2,0,0,2,0,10.0,5.0,5.0,blurry whirl>blurriest
1124840254_16,1124840254,2005,8606f658-92cd-570c-bf5e-2865de4a9b48,Andrew Grant,,context_window,3,3,0,0,3,0,12.0,4.0,5.0,blurry whirl>ripwalk>whirl
1124840254_19,1124840254,2005,ac873358-cd16-58eb-81c0-5c9b798de252,Jess Archer,,context_window,3,3,0,0,3,0,6.0,2.0,2.0,pixie>legover>mirage
1124840254_20,1124840254,2005,ac873358-cd16-58eb-81c0-5c9b798de252,Jess Archer,,context_window,3,3,0,0,3,0,8.0,2.667,3.0,mirage>butterfly>osis
1125936037_117,1125936037,2005,b274fbcc-9283-5e2e-9c68-704f3212796e,Yves Kreil,,direct,2,2,0,0,1,1,4.0,2.0,4.0,torque>stepping
1125936037_124,1125936037,2005,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,,context_window,3,3,0,0,3,0,13.0,4.333,5.0,fog>drifter>blurry whirl
1125936037_126,1125936037,2005,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,,context_window,2,2,0,0,2,0,10.0,5.0,6.0,atom smasher>atomic torque
1125936037_127,1125936037,2005,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,,context_window,3,3,0,0,2,1,9.0,3.0,5.0,atomic>fog>torque
1125936037_130,1125936037,2005,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,,context_window,3,3,0,0,3,0,13.0,4.333,5.0,blurry whirl>whirl>superfly
