chain_id,event_id,year,person_id,person_canon,match_type,attribution_confidence,sequence_length,scored_count,unscored_count,sequence_add,avg_add,max_add,tricks
1109682847_9,1109682847,2005,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,,context_window,2,1,1,3.0,1.5,3.0,whirl>spinning
1114277529_16,1114277529,2005,,,,none,2,1,1,4.0,2.0,4.0,ducking>torque
1114277529_17,1114277529,2005,,,,none,2,2,0,8.0,4.0,5.0,fusion>eggbeater
1124840254_13,1124840254,2005,bf5ce745-18b5-50b5-87a5-b2af6ffbf21c,Byrin Wylie,,context_window,2,2,0,8.0,4.0,4.0,torque>torque
1124840254_14,1124840254,2005,bf5ce745-18b5-50b5-87a5-b2af6ffbf21c,Byrin Wylie,,context_window,2,2,0,10.0,5.0,5.0,blurry whirl>blurriest
1124840254_16,1124840254,2005,8606f658-92cd-570c-bf5e-2865de4a9b48,Andrew Grant,,context_window,3,3,0,12.0,4.0,5.0,blurry whirl>ripwalk>whirl
1124840254_19,1124840254,2005,ac873358-cd16-58eb-81c0-5c9b798de252,Jess Archer,,context_window,3,3,0,6.0,2.0,2.0,pixie>legover>mirage
1124840254_20,1124840254,2005,ac873358-cd16-58eb-81c0-5c9b798de252,Jess Archer,,context_window,3,3,0,8.0,2.667,3.0,mirage>butterfly>osis
1125936037_117,1125936037,2005,d31e8ab0-0924-5e2c-b3f8-560279e37c9a,Franck Rémy,,context_window,2,1,1,4.0,2.0,4.0,torque>stepping
1125936037_124,1125936037,2005,d31e8ab0-0924-5e2c-b3f8-560279e37c9a,Franck Rémy,,context_window,3,3,0,13.0,4.333,5.0,fog>drifter>blurry whirl
1125936037_126,1125936037,2005,d31e8ab0-0924-5e2c-b3f8-560279e37c9a,Franck Rémy,,context_window,2,2,0,10.0,5.0,6.0,atom smasher>atomic torque
1125936037_127,1125936037,2005,d31e8ab0-0924-5e2c-b3f8-560279e37c9a,Franck Rémy,,context_window,3,2,1,9.0,3.0,5.0,atomic>fog>torque
1125936037_130,1125936037,2005,d31e8ab0-0924-5e2c-b3f8-560279e37c9a,Franck Rémy,,context_window,3,3,0,13.0,4.333,5.0,blurry whirl>whirl>superfly
1125936037_132,1125936037,2005,d31e8ab0-0924-5e2c-b3f8-560279e37c9a,Franck Rémy,,context_window,5,5,0,18.0,3.6,5.0,blurry whirl>ripwalk>whirl>pixie>paradox whirl
1125936037_134,1125936037,2005,d31e8ab0-0924-5e2c-b3f8-560279e37c9a,Franck Rémy,,context_window,3,2,1,5.0,1.667,3.0,smear>atomic>pixie
1125936037_135,1125936037,2005,d31e8ab0-0924-5e2c-b3f8-560279e37c9a,Franck Rémy,,context_window,3,3,0,13.0,4.333,5.0,ripwalk>ripwalk>blurry whirl
1126086921_37,1126086921,2005,,,,none,2,2,0,10.0,5.0,5.0,blurry whirl>paradox blender
1126086921_41,1126086921,2005,2863264e-bf65-5f88-aef4-0b89332b7a29,Hubert Godlewski,,context_window,2,2,0,8.0,4.0,5.0,paradox blender>whirl
1127155729_16,1127155729,2005,,,,none,2,2,0,8.0,4.0,5.0,whirl>superfly
1127155729_17,1127155729,2005,,,,none,2,2,0,7.0,3.5,4.0,torque>whirl
1127155729_18,1127155729,2005,,,,none,2,2,0,7.0,3.5,4.0,blender>whirl
1127155729_19,1127155729,2005,,,,none,2,2,0,8.0,4.0,4.0,dimwalk>ripwalk
1135116604_120,1135116604,2006,,,,none,2,2,0,9.0,4.5,5.0,superfly>blender
1135116604_121,1135116604,2006,,,,none,2,2,0,9.0,4.5,5.0,torque>superfly
1135116604_124,1135116604,2006,,,,none,2,2,0,5.0,2.5,3.0,flurry>pixie
1135116604_125,1135116604,2006,,,,none,3,0,3,,,,stepping>spinning>spinning
1135116604_126,1135116604,2006,,,,none,3,3,0,10.0,3.333,4.0,butterfly>ripwalk>whirl
1137347261_10,1137347261,2006,162332af-26d3-557e-9bf8-ff21c226fbaf,Dylan Johnson,,context_window,2,2,0,6.0,3.0,4.0,parkwalk>pixie
1137347261_12,1137347261,2006,e8aa88b0-f630-555a-ac0c-60d033607464,Chris Balch,,context_window,2,2,0,5.0,2.5,3.0,pixie>butterfly
1137347261_28,1137347261,2006,be7a8e7f-f052-5c31-b27b-47d4fee9a265,Evan Gatesman,,context_window,2,2,0,6.0,3.0,3.0,whirl>whirl
1137347261_30,1137347261,2006,91dbdc03-080b-5170-a2b4-6fcbc7b4f053,Justin Dale,,context_window,2,1,1,5.0,2.5,5.0,blurry whirl>spinning
1137347261_32,1137347261,2006,d1aace44-cd92-5b85-9ed1-fe4afb2cd502,Ken Somolinos,,context_window,2,2,0,8.0,4.0,4.0,blur>parkwalk
1137347261_8,1137347261,2006,5ff55ce6-2a42-5159-ab1a-5b997c194707,Nelson Monhollon,,context_window,2,2,0,8.0,4.0,4.0,ripwalk>spinning osis
1143172220_44,1143172220,2006,10573dc4-31ee-5440-9df4-a68d11bd4801,Gordon Bevier,,context_window,2,2,0,8.0,4.0,5.0,drifter>superfly
1143172220_47,1143172220,2006,43ddd1ca-e004-5d37-b4b5-38cd81bde3c2,Chris Dean,,context_window,2,2,0,10.0,5.0,5.0,blurry whirl>paradox torque
1149763452_187,1149763452,2006,,,,none,3,3,0,9.0,3.0,5.0,pixie>pixie>blurriest
1149763452_189,1149763452,2006,,,,none,2,2,0,9.0,4.5,5.0,paradox drifter>tomahawk
1149763452_191,1149763452,2006,,,,none,2,2,0,7.0,3.5,5.0,pixie>blurriest
1149763452_193,1149763452,2006,,,,none,2,2,0,4.0,2.0,2.0,legover>legover
1149763452_195,1149763452,2006,,,,none,2,2,0,9.0,4.5,5.0,blur>blurriest
1149763452_197,1149763452,2006,,,,none,3,3,0,10.0,3.333,5.0,pixie>blurry whirl>whirl
1149763452_199,1149763452,2006,,,,none,2,1,1,3.0,1.5,3.0,whirl>symposium
1149763452_201,1149763452,2006,,,,none,3,3,0,10.0,3.333,4.0,atom smasher>smear>ducking mirage
1149763452_203,1149763452,2006,,,,none,3,3,0,9.0,3.0,4.0,legover>smear>dimwalk
1149763452_207,1149763452,2006,,,,none,2,2,0,8.0,4.0,4.0,dimwalk>ripwalk
1149763452_209,1149763452,2006,,,,none,2,2,0,7.0,3.5,4.0,parkwalk>osis
1157398732_29,1157398732,2006,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,,context_window,3,3,0,11.0,3.667,4.0,dimwalk>whirl>blender
1157398732_30,1157398732,2006,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,,context_window,2,2,0,8.0,4.0,4.0,blur>dimwalk
1157398732_31,1157398732,2006,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,,context_window,2,2,0,8.0,4.0,4.0,dimwalk>ripwalk
1157398732_32,1157398732,2006,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,,context_window,3,3,0,10.0,3.333,4.0,smear>dimwalk>spinning clipper
1157398732_33,1157398732,2006,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,,context_window,2,2,0,6.0,3.0,4.0,ripwalk>mirage
1157942368_22,1157942368,2006,6dd904b7-11c6-5d62-af34-dad61040e67e,Sebastien Duchesne,,context_window,2,2,0,8.0,4.0,5.0,tomahawk>whirl
1157942368_23,1157942368,2006,6dd904b7-11c6-5d62-af34-dad61040e67e,Sebastien Duchesne,,context_window,2,2,0,8.0,4.0,5.0,blurry whirl>whirl
1158263300_42,1158263300,2006,68248357-f8c2-555c-acf9-2c42d9e9fb82,Michal Miszkiel,,context_window,3,2,1,9.0,3.0,6.0,drifter>spinning>food processor
1163784775_284,1163784775,2007,457cdaa2-3ec3-5aed-b340-708420125d7c,Will Digges,,context_window,3,2,1,10.0,3.333,5.0,blurry whirl>barraging>fog
1163784775_287,1163784775,2007,e5ae5d7c-8286-5afd-9fc9-1fd50a059ff2,Sam Potter,,context_window,2,2,0,10.0,5.0,5.0,fog>paradox torque
1163784775_288,1163784775,2007,e5ae5d7c-8286-5afd-9fc9-1fd50a059ff2,Sam Potter,,context_window,3,3,0,12.0,4.0,5.0,butterfly>fog>blender
1163784775_292,1163784775,2007,bf5ce745-18b5-50b5-87a5-b2af6ffbf21c,Byrin Wylie,,context_window,3,3,0,13.0,4.333,5.0,spinning whirl>mobius>swirl
1163784775_295,1163784775,2007,bf5ce745-18b5-50b5-87a5-b2af6ffbf21c,Byrin Wylie,,context_window,2,1,1,4.0,2.0,4.0,paradox>torque
1163784775_296,1163784775,2007,bf5ce745-18b5-50b5-87a5-b2af6ffbf21c,Byrin Wylie,,context_window,2,2,0,6.0,3.0,3.0,whirl>whirl
1163784775_299,1163784775,2007,0b3204c8-7e99-586e-aeb2-4186d0901fe3,Milan Benda,,context_window,2,2,0,8.0,4.0,5.0,blurriest>whirl
1163784775_300,1163784775,2007,0b3204c8-7e99-586e-aeb2-4186d0901fe3,Milan Benda,,context_window,2,2,0,10.0,5.0,5.0,fusion>blurry whirl
1163784775_309,1163784775,2007,4d04edec-6cd0-582d-b4e1-e8ead070a8c8,Jim Penske,,context_window,3,1,2,4.0,1.333,4.0,spinning>barfly>spinning
1163784775_320,1163784775,2007,4d04edec-6cd0-582d-b4e1-e8ead070a8c8,Jim Penske,,context_window,2,2,0,6.0,3.0,3.0,spinning clipper>swirl
1172931308_24,1172931308,2007,,,,none,2,2,0,7.0,3.5,4.0,atomic butterfly>swirl
1173467292_50,1173467292,2007,4d04edec-6cd0-582d-b4e1-e8ead070a8c8,Jim Penske,,context_window,3,3,0,13.0,4.333,6.0,blender>food processor>whirl
1176650845_10,1176650845,2007,,,,none,3,3,0,9.0,3.0,4.0,ducking clipper>mirage>dimwalk
1176650845_11,1176650845,2007,,,,none,2,2,0,6.0,3.0,3.0,double around the world>butterfly
1176650845_12,1176650845,2007,,,,none,3,2,1,5.0,1.667,3.0,clipper>spinning clipper>spinning
1176650845_13,1176650845,2007,,,,none,3,3,0,11.0,3.667,4.0,torque>swirl>spinning osis
1183729267_169,1183729267,2007,71475c85-2292-5764-b481-1c24bd73bda6,Robinson Sustrac,,context_window,3,1,2,3.0,1.0,3.0,ducking mirage>ducking>paradox
1183729267_171,1183729267,2007,71475c85-2292-5764-b481-1c24bd73bda6,Robinson Sustrac,,context_window,2,1,1,6.0,3.0,6.0,food processor>ducking
1183729267_172,1183729267,2007,71475c85-2292-5764-b481-1c24bd73bda6,Robinson Sustrac,,context_window,2,2,0,11.0,5.5,6.0,food processor>superfly
1183729267_173,1183729267,2007,71475c85-2292-5764-b481-1c24bd73bda6,Robinson Sustrac,,context_window,2,2,0,4.0,2.0,2.0,legover>legover
1183729267_175,1183729267,2007,71475c85-2292-5764-b481-1c24bd73bda6,Robinson Sustrac,,context_window,3,2,1,8.0,2.667,5.0,drifter>blurry whirl>paradox
1183729267_176,1183729267,2007,71475c85-2292-5764-b481-1c24bd73bda6,Robinson Sustrac,,context_window,3,2,1,7.0,2.333,4.0,symposium>symposium whirl>whirl
1183729267_178,1183729267,2007,71475c85-2292-5764-b481-1c24bd73bda6,Robinson Sustrac,,context_window,3,3,0,11.0,3.667,5.0,blurry whirl>whirl>swirl
1183729267_179,1183729267,2007,71475c85-2292-5764-b481-1c24bd73bda6,Robinson Sustrac,,context_window,2,1,1,2.0,1.0,2.0,legover>symposium
1183729267_181,1183729267,2007,71475c85-2292-5764-b481-1c24bd73bda6,Robinson Sustrac,,context_window,2,2,0,8.0,4.0,4.0,paradox whirl>spinning osis
1183729267_182,1183729267,2007,71475c85-2292-5764-b481-1c24bd73bda6,Robinson Sustrac,,context_window,2,2,0,7.0,3.5,4.0,paradox whirl>paradox mirage
