event_id,year,event_name,line_no,line_raw,line_class,name_raw,person_id,person_canon,match_type,score_raw,score_value,score_type,extract_method,filter_reason
1148241486,2006,2006 Steel City Shred Off,5,3) Caleb Abraham - 152,result_score,Caleb Abraham,ea4b97b8-2ee0-516b-94ce-ccdf349463da,Caleb Abraham,exact,152,152.0,raw_integer,name_score_inline,
1148241486,2006,2006 Steel City Shred Off,9,3) Nathan Pipenberg - 69,result_score,Nathan Pipenberg,eae790d9-83f5-5339-8828-c641f33ec86d,Nathan Pipenberg,exact,69,69.0,raw_integer,placement_line_tail_score,
1148241486,2006,2006 Steel City Shred Off,9,3) Nathan Pipenberg - 69,result_score,Nathan Pipenberg,eae790d9-83f5-5339-8828-c641f33ec86d,Nathan Pipenberg,exact,69,69.0,raw_integer,name_score_inline,
1177512537,2007,Championnats de France de Footbag,17,"1- Serge Kaldany : 183,97",result_score,Serge Kaldany,8983b558-9cb9-5a25-bb28-589435a8f34e,Serge Kaldany,exact,183,183.0,raw_integer,placement_line_tail_score,
1177512537,2007,Championnats de France de Footbag,17,"1- Serge Kaldany : 183,97",result_score,Serge Kaldany,8983b558-9cb9-5a25-bb28-589435a8f34e,Serge Kaldany,exact,183,183.0,raw_integer,name_score_inline,
1177512537,2007,Championnats de France de Footbag,18,"2- Jeremy Masselis : 123,34",result_score,Jeremy Masselis,1f864e5e-28bc-5370-8f30-49bc3c65c64c,Jeremy Masselis,exact,123,123.0,raw_integer,placement_line_tail_score,
1177512537,2007,Championnats de France de Footbag,18,"2- Jeremy Masselis : 123,34",result_score,Jeremy Masselis,1f864e5e-28bc-5370-8f30-49bc3c65c64c,Jeremy Masselis,exact,123,123.0,raw_integer,name_score_inline,
1177512537,2007,Championnats de France de Footbag,19,"3- Maxime Boucoiran : 118,46",result_score,Maxime Boucoiran,8069a4cf-1543-5a0a-bf83-92edff9e120f,Maxime Boucoiran,exact,118,118.0,raw_integer,placement_line_tail_score,
1177512537,2007,Championnats de France de Footbag,19,"3- Maxime Boucoiran : 118,46",result_score,Maxime Boucoiran,8069a4cf-1543-5a0a-bf83-92edff9e120f,Maxime Boucoiran,exact,118,118.0,raw_integer,name_score_inline,
1185556078,2007,Austrian Footbag Championships 2007,36,1. Ali Dastrandj - 26,result_score,Ali Dastrandj,e2a90d21-3f84-5e96-b568-8750b69ca493,Ali Djastranj,exact,26,26.0,golf_score,placement_line_tail_score,
1185556078,2007,Austrian Footbag Championships 2007,36,1. Ali Dastrandj - 26,result_score,Ali Dastrandj,e2a90d21-3f84-5e96-b568-8750b69ca493,Ali Djastranj,exact,26,26.0,golf_score,name_score_inline,
1185556078,2007,Austrian Footbag Championships 2007,37,2. Bernhard Leiner - 28,result_score,Bernhard Leiner,600c7e31-01f3-50f4-9a65-c79c13691920,Bernhard Leiner,exact,28,28.0,golf_score,placement_line_tail_score,
