event_id,year,person_id,person_canon,attribution_confidence,chain_id,sequence_index,trick_canon
1070734498,2004,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,context_window,1070734498_23,0,ducking
1070734498,2004,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,context_window,1070734498_23,1,blender
1070734498,2004,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,context_window,1070734498_24,0,whirl
1070734498,2004,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,context_window,1070734498_24,1,blender
1070734498,2004,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,context_window,1070734498_27,0,blurry whirl
1070734498,2004,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,context_window,1070734498_27,1,blurriest
1070734498,2004,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,context_window,1070734498_28,0,whirl
1070734498,2004,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,context_window,1070734498_28,1,superfly
1070734498,2004,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,context_window,1070734498_30,0,dimwalk
1070734498,2004,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,context_window,1070734498_30,1,food processor
1070734498,2004,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,context_window,1070734498_30,2,whirl
1079024287,2004,04a43526-37ba-5ea0-a01c-8e357a694c42,Felix Zenger,context_window,1079024287_10,0,blurry whirl
1079024287,2004,04a43526-37ba-5ea0-a01c-8e357a694c42,Felix Zenger,context_window,1079024287_10,1,whirl
1079024287,2004,04a43526-37ba-5ea0-a01c-8e357a694c42,Felix Zenger,context_window,1079024287_10,2,spinning
1079024287,2004,04a43526-37ba-5ea0-a01c-8e357a694c42,Felix Zenger,context_window,1079024287_11,0,whirl
1079024287,2004,04a43526-37ba-5ea0-a01c-8e357a694c42,Felix Zenger,context_window,1079024287_11,1,spinning
1079024287,2004,ee569024-9b98-5ae0-8f39-8f0a97d99dfa,Lasse Salmenhaara,context_window,1079024287_13,0,blurry whirl
1079024287,2004,ee569024-9b98-5ae0-8f39-8f0a97d99dfa,Lasse Salmenhaara,context_window,1079024287_13,1,whirl
1079024287,2004,ee569024-9b98-5ae0-8f39-8f0a97d99dfa,Lasse Salmenhaara,context_window,1079024287_13,2,spinning whirl
1079024287,2004,ee569024-9b98-5ae0-8f39-8f0a97d99dfa,Lasse Salmenhaara,context_window,1079024287_14,0,blurry whirl
1079024287,2004,ee569024-9b98-5ae0-8f39-8f0a97d99dfa,Lasse Salmenhaara,context_window,1079024287_14,1,whirl
1079024287,2004,ee569024-9b98-5ae0-8f39-8f0a97d99dfa,Lasse Salmenhaara,context_window,1079024287_14,2,spinning whirl
1079024287,2004,ee569024-9b98-5ae0-8f39-8f0a97d99dfa,Lasse Salmenhaara,context_window,1079024287_19,0,blurry whirl
1079024287,2004,ee569024-9b98-5ae0-8f39-8f0a97d99dfa,Lasse Salmenhaara,context_window,1079024287_19,1,paradox torque
1079024287,2004,ee569024-9b98-5ae0-8f39-8f0a97d99dfa,Lasse Salmenhaara,context_window,1079024287_19,2,whirl
1090437706,2004,23462c9a-29d4-578f-9cfc-19d9ba086f45,Pavel Cerveny,context_window,1090437706_68,0,symposium
1090437706,2004,23462c9a-29d4-578f-9cfc-19d9ba086f45,Pavel Cerveny,context_window,1090437706_68,1,flurry
1090437706,2004,23462c9a-29d4-578f-9cfc-19d9ba086f45,Pavel Cerveny,context_window,1090437706_70,0,paradox mirage
1090437706,2004,23462c9a-29d4-578f-9cfc-19d9ba086f45,Pavel Cerveny,context_window,1090437706_70,1,blur
1090437706,2004,73f415ee-765e-55ec-bde1-247d6b97eba6,Ellis Piltz,context_window,1090437706_75,0,whirl
1090437706,2004,73f415ee-765e-55ec-bde1-247d6b97eba6,Ellis Piltz,context_window,1090437706_75,1,whirl
1090437706,2004,ce7e0e5a-0d7f-542c-8d5d-fb4895184909,Max Kerkhoff,context_window,1090437706_77,0,blurriest
1090437706,2004,ce7e0e5a-0d7f-542c-8d5d-fb4895184909,Max Kerkhoff,context_window,1090437706_77,1,blur
1090437706,2004,ce7e0e5a-0d7f-542c-8d5d-fb4895184909,Max Kerkhoff,context_window,1090437706_79,0,ripwalk
1090437706,2004,ce7e0e5a-0d7f-542c-8d5d-fb4895184909,Max Kerkhoff,context_window,1090437706_79,1,whirl
1090437706,2004,fc0e50ee-c392-5d00-a7f1-be70b324c749,Adam Cieszkiel,context_window,1090437706_81,0,whirl
1090437706,2004,fc0e50ee-c392-5d00-a7f1-be70b324c749,Adam Cieszkiel,context_window,1090437706_81,1,blurriest
1090437706,2004,fc0e50ee-c392-5d00-a7f1-be70b324c749,Adam Cieszkiel,context_window,1090437706_81,2,whirl
1090437706,2004,56ecef47-5ea7-5d81-8de8-3efb1e66c81b,Wojciech Ignaczak,context_window,1090437706_83,0,ripwalk
1090437706,2004,56ecef47-5ea7-5d81-8de8-3efb1e66c81b,Wojciech Ignaczak,context_window,1090437706_83,1,butterfly
1090437706,2004,a3781ac2-c529-5316-b22b-2bdcfa67bb67,Damian Budzik,context_window,1090437706_85,0,ripwalk
1090437706,2004,a3781ac2-c529-5316-b22b-2bdcfa67bb67,Damian Budzik,context_window,1090437706_85,1,mirage
