person_canon,effective_person_id,notes
Awesome Austin Sparks,6a5bae3b-f502-59cb-ac56-1025dc985a31,no_match
Axel Pernett,c0edcb8f-19e9-51d7-8f27-8d4f3eb1db8f,no_match
Ban Baron,11fdf582-4df5-53e9-b59a-81533ece30df,no_match
Barry Thorsen,03ab6375-1357-52ad-be82-4fe60aff6347,no_match
Barta Balint,1721a3b1-c3cd-5666-8250-a5ee77a597f1,no_match
Bartek Rzasa,ddee026a-e333-5432-8687-5a796799bd08,no_match
Bartosz Bubula,e719220a-29e0-5844-869b-58c53a0b88b9,no_match
Bartosz Wilk,79664db5-deda-5de4-b818-d19274bc368e,no_match
Basia Klimczak,74bab864-2b3a-54eb-8e7c-c93c20ade226,no_match
Bathélémy Meridjen,c653acac-232c-57bf-a21f-69168681b046,no_match
Be Announced,002616b1-9094-5463-b9ef-42adba3791fc,no_match
Beatrice Jäger,7879dd3e-ff36-5ecd-b32e-c030cd9c219b,no_match
Belouin Ollivier,74e79140-82cd-54e3-b171-c60bbc50fb33,no_match
Ben Appold,8904d5de-3a3f-5eec-9898-3b1881fa1a2e,no_match
Ben Babyak,c5297bc0-0f46-5f3f-b165-c6f4901f8838,no_match
Ben Barrows,cb2f5aeb-165a-5e47-96a0-b80622a0d252,no_match
Ben Benulis,0f04687b-1e6c-597f-be61-6edb9e8e6bfa,no_match
Ben Clark,f8a2e4ab-66f8-5457-80ff-e4b0b7192740,no_match
Ben Elynn,0fa81d44-72e1-5170-966c-f4ecadd319a7,no_match
Ben Enwright,6bd347e1-2ff2-5c23-9375-ade2aabde385,no_match
Ben Kellman,edb7ff85-0dae-5590-b5df-ac61cd472031,no_match
Ben Kersens,643c809b-a507-583f-b3b8-3004339f0877,no_match
Ben Kettman,ffea5e83-b3c2-5a1f-88a3-d801228773f6,no_match
Ben Kühner,016a53ef-4523-5372-aa85-c67d9fd959c7,no_match
Ben Rochon,d8510984-44e5-540a-b35c-56ffff178798,no_match
Ben Zylbeberg,b044ed8f-fce2-58ef-a42b-a8a7fcda3369,no_match
Beni Zahner,a47d1872-8a14-5644-80a7-1b4ea47b202d,no_match
Benjamin Brissac,83354070-6d65-5044-a4cf-0b9384fd4142,no_match
Benjamin Lemme,bf658f4c-a8e8-5a45-87d4-ab424e158e9d,no_match
Benjamin Marin,123979e8-fdf3-53ef-90bb-e78d8f12c105,no_match
Benny Gsponer,5fbf40d4-498a-5ebe-91a0-f1298c1cb8d2,no_match
Benny Kellman,77de2a9d-0785-5fea-bc31-e614ae622492,no_match
Benoit Guillemette,19d5198c-021c-5296-b078-565588c467db,no_match
Benoît Dugovic,60067034-141d-588d-952a-73333372a372,no_match
BERNARDO PALACIOS,aabbe5f2-b4f9-58db-be61-48b802acf247,no_match
Beta Fog,fbdcd384-a1c5-5e94-a96d-2d2a1f2f75d5,no_match
Beth Grassfield,243edd82-4810-581b-a037-62412f0b082b,no_match
Beth Whitehouse,ec1ff689-9404-5db4-8091-b44d9af0c126,no_match
Big Ben Alston,579640f0-042f-5c78-8b85-fd74091261af,no_match
Big One,dbf37d51-83aa-5922-a4e0-c9df4abe873c,no_match
Bill Bethurum,67af5b3f-6e16-530a-8841-409debf11fb0,no_match
Bill Bleecker,64f96b0a-2f13-51fb-a203-106c52053d29,no_match
Bill Hayne,92b0ee3b-efaa-545a-b07e-30ab6d8ebeb0,no_match
Bill Johnson,7e2a6f57-3e62-5d23-ada3-904f1a5c3d71,no_match
Bill Kling,979fa012-9bfb-5fce-956f-6b0a2d2eab54,no_match
Bill Paris,d1b8ada2-0cfb-56b9-b58a-ed540c86a5f5,no_match
Biotr Baltrukiewitz,a4a1e36c-db18-5f57-90ab-de6efa0cc7a1,no_match
Blake Mikkleson,ed5eb141-e8eb-5cb5-8dac-079172569975,no_match
Bob Fokoly,053f76dc-93a2-5121-beba-22ef7ee5f8d8,no_match
Bob Lavigne,d41e4317-883b-5d0a-a05c-9601ab67dbce,no_match
Bob Nicholson,f68e33be-361c-5f4d-a3d8-ed83d4044638,no_match
Bob Swerdlick,4a680cee-eee2-5f29-9637-86075d66581c,no_match
Bobby Heiney,0d499dd0-e1a4-5787-bd32-7ff7d4ad594f,no_match
Boehm Jule,968503ff-4e51-5a66-beb0-05f6ccff4587,no_match
Boehme Rico,3f12bec8-1846-5146-893e-8593419d618f,no_match
Boris Calonius,fecdef1c-7d7c-5dbe-9b43-44df38b90dd8,no_match
Borja Asenjo,053d8f29-01e0-55d1-af68-0e386dcad8ef,no_match
Boy-Skaut Skrabal,8062aff3-a243-594f-b347-8f5e60cbf435,no_match
Brad Watkins,909166f1-c88e-5037-84c3-89b8d0dd7b97,no_match
Bradley McGhee,2eb2a119-2bd9-5f0d-95ff-2dae142f0dca,no_match
brain dennis,cc4eb8cf-9ce5-5caa-b6b5-ad3a1000cbbc,no_match
Brain McKenzie,16aa924d-87a4-5b4a-8b80-7ed2f14da5a9,no_match
Brandon Crum,224a5a63-3780-5417-a356-b1d2f48167c4,no_match
Brandon Finger,6242c3ff-6b9f-5cff-a5c8-32794fce31c0,no_match
Brandon Morrow,2feb9677-07b7-515a-9548-eeda3b01727b,no_match
Brandon Temple,7629d42c-58af-554f-9c65-3a3f25afa0de,no_match
Brandy Montoya,2216a4b4-f166-5d94-8fda-38e40f13ff85,no_match
Brandy Nichols,58f6d1b4-94c9-501f-ac4c-2a88db744a4f,no_match
Brenda Carmen,9de9e8c6-1cb4-51a5-a2c6-498ce712d8e5,no_match
Brent Means,316ab080-4b6f-5719-950c-41506b9966b4,no_match
Brett Crawford,efcf5030-6011-587b-8380-7d5dba481e85,no_match
Brett Perkinson,04ed2e65-15a0-5ccf-b40c-aa9b43e660ed,no_match
Brian Bear,808ad99f-d952-5525-b12c-657d48a3478f,no_match
Brian Buen,8c819392-c721-57e3-8cc1-62184478d902,no_match
Brian Fournier,acf08268-cade-5c38-871e-3c3f694d3021,no_match
Brian Hudson,befb6921-1a5b-5cd1-8b05-578b117f2ef2,no_match
Brian Jones,c51c1328-bb7f-53ca-ad7c-2d17cc60bd87,no_match
Brian Kenney,21acf358-b81d-5e71-b8a4-cb7ed04704fe,no_match
Brian McK,88b32f81-7f6e-5162-8ac8-98bfbaf5ec1c,no_match
Brian Newton,4ac7d709-d7dd-5a7c-a69e-947c277924bf,no_match
Brian Pickup,595e78c3-73bb-5fb3-95a5-dbc326dc2aad,no_match
Brian Scott,373e9063-06ea-58d4-a0b6-049aeb2c0c0e,no_match
British Columbia,2200ad5f-da15-5fbf-b1a5-f137dc0531d3,no_match
British Victoria,dedeb265-0b57-5729-89be-8382b2fd4e8b,no_match
Brock Self,06f99223-5dbd-551f-b863-509431257c60,no_match
Bruno Jouvenel,c996a805-5b30-5a45-ba59-479a1426a772,no_match
Bruno Pischel,9c01ed5b-5293-56ab-aeb2-bc7d2164e8c8,no_match
Budás Bálint,4db4e8fb-1a65-50c3-93ac-0c7b5ee74e3d,no_match
Budás SiGi Bálint,e6554368-2c1b-57a6-a740-af46466a26d8,no_match
Calab Abraham,5a39651f-26c4-5e1d-b036-501a54aa1318,no_match
Cameron Carnegie,b99dcaef-c269-5484-adc1-790a4512adb5,no_match
Canyon Hart,52b8f255-6be2-5fe5-86c2-1f9ebc1c2a01,no_match
Captain Chaos,798fe27c-7247-5c17-929a-2796c47dbc7b,no_match
Carl Cavazos,1e45e0bb-c3a5-5d42-9bfa-cc460eff654d,no_match
Carlos Blaumann,61a07a87-2b6b-522f-9370-02ea8018c9a7,no_match
CARLOS RAMIREZ,cb047679-c1ef-5ab8-8944-999ca66d1ea3,no_match
Caro Bourgouin,81a671cd-b6f6-5d6e-997e-21d885cf8ae8,no_match
Carolyn Ramondie,cbf84862-04b1-5408-9e43-49b9818ed9aa,no_match
Catherine Riffaud,88fa541f-5f55-5bfb-ae18-4e153ff3ed7c,no_match
Cathey Guenther,0c288683-68be-5ecd-ab70-942cec240b88,no_match
Cathy Clerc,2d39bf4d-12bc-53b1-aa2e-ee0b4652e76a,no_match
Cathy Guenther,6d8f8a3e-92a1-565d-b38d-53814572633f,no_match
Cathy Riffaud,1cb4599b-eab2-5f10-87d7-dadbbaab022a,no_match
Chad Clement,f1e8c0f2-f20f-59bf-b062-9543aba777ad,no_match
