year,division_category,division_canon,place,competitor_type,person_canon,team_display_name,coverage_flag
2025,golf,Footbag Golf,13,player,Julian Florez Cifuentes,,complete
2025,golf,Footbag Golf,14,player,Sergio Garcia,,complete
2025,golf,Footbag Golf,15,player,Audrey Tumelin,,complete
2025,golf,Footbag Golf,16,player,Tom Kotsakos,,complete
2025,golf,Golf,1,player,Stefan Stuff Nold,,complete
2025,golf,Golf,2,player,Alexander Bartsch,,complete
2025,golf,Golf,3,player,Andi Wolff,,complete
2025,golf,Open Golf,1,player,Damian Budzik,,complete
2025,golf,Open Golf,2,player,Filip Wojcik,,complete
2025,golf,Open Golf,3,player,Pawe Nowak,,complete
2025,net,Intermediate Singles,1,player,Will Mayfield,,complete
2025,net,Intermediate Singles,2,player,Simon Hankamer,,complete
2025,net,Intermediate Singles,3,player,Harper Cleaver,,complete
2025,net,Intermediate Singles,4,player,Arlo Perin,,complete
2025,net,Intermediate Singles Net,1,player,Juan Luca Abt,,complete
2025,net,Intermediate Singles Net,2,player,Elle Shults,,complete
2025,net,Intermediate Singles Net,3,player,Jesse Ross,,complete
2025,net,Intermediate Singles Net,4,player,Olli Kärki,,complete
2025,net,Intermediate Singles Net,5,player,Nassirou Ouro,,complete
2025,net,Intermediate Singles Net,6,player,Caroline Birch,,complete
2025,net,Intermediate Singles Net,7,player,Costa Depoilly,,complete
2025,net,Intermediate Singles Net,8,player,Victoria Grillo Garcia,,complete
2025,net,Last Man Standing,1,player,Jakub Mosciszewski,,complete
2025,net,Last Man Standing,2,player,Filip Wojcik,,complete
2025,net,Last Man Standing,3,player,Pawe Nowak,,complete
2025,net,Last Man Standing,4,player,Arkadiusz Stanek,,complete
2025,net,Last Man Standing,5,player,Damian Gielnicki,,complete
2025,net,Last Man Standing,6,player,Jakub Worek,,complete
2025,net,Last Man Standing,7,player,Maciej Niczyporuk,,complete
2025,net,Master Singles Net,1,player,Eurik Lindner,,complete
2025,net,Master Singles Net,2,player,Russell Arseneault,,complete
2025,net,Master Singles Net,3,player,Tanja Abt,,complete
2025,net,Master Singles Net,4,player,Nassirou Ouro,,complete
2025,net,Open Big One,1,player,Rafal Kaleta,,complete
2025,net,Open Big One,2,player,Jakub Mosciszewski,,complete
2025,net,Open Big One,3,player,Maciej Niczyporuk,,complete
2025,net,Open Big One,4,player,Arkadiusz Stanek,,complete
2025,net,Open Big One,5,player,Pawe Nowak,,complete
2025,net,Open Big One,6,player,Filip Wojcik,,complete
2025,net,Open Big One,7,player,Przemyslaw Pietrzycki,,complete
2025,net,Open Big One,8,player,Jakub Worek,,complete
2025,net,Open Single Net,1,player,Micha Klimczak,,complete
2025,net,Open Single Net,2,player,Kuba Grabarczyk,,complete
2025,net,Open Single Net,3,player,Marcin Staron,,complete
2025,net,Open Single Net,4,player,Damian Budzik,,complete
2025,net,Open Single Net,5,player,Maciej Pietrzycki,,complete
2025,net,Open Single Net,6,player,Marcin Czech,,complete
2025,net,Open Single Net,7,player,Micha Rog,,complete
2025,net,Open Single Net,8,player,Lukasz Domin,,complete
2025,net,Open Single Net,9,player,Maciej Niczyporuk,,complete
2025,net,Open Single Net,10,player,Rados Turek,,complete
2025,net,Open Singles,1,player,Germain Uzcategui,,complete
2025,net,Open Singles,2,player,Juan Bernardo Palacios Lemos,,complete
2025,net,Open Singles,3,player,Gianni Almanza Amaya,,complete
2025,net,Open Singles,4,player,Marcela Mercado,,complete
2025,net,Open Singles,5,player,Nikolle Valentina Flórez Mora,,complete
2025,net,Open Singles Net,1,player,Kenneth Shults,,complete
2025,net,Open Singles Net,1,player,Karim Daouk,,complete
2025,net,Open Singles Net,1,player,Kenneth Shults,,complete
2025,net,Open Singles Net,1,player,Egoitz Campo,,complete
2025,net,Open Singles Net,1,player,Pavel Hejra,,complete
2025,net,Open Singles Net,1,player,Matti Pohjola,,complete
2025,net,Open Singles Net,1,player,Dan Greer,,complete
2025,net,Open Singles Net,1,player,Ivan Stanev,,complete
2025,net,Open Singles Net,1,player,Egoitz Campo,,complete
2025,net,Open Singles Net,2,player,Jasper Shults,,complete
2025,net,Open Singles Net,2,player,Pawel Rozek,,complete
2025,net,Open Singles Net,2,player,Francois Pelletier,,complete
2025,net,Open Singles Net,2,player,Ander López,,complete
2025,net,Open Singles Net,2,player,Patrik Cerny,,complete
2025,net,Open Singles Net,2,player,Grischa Tellenbach,,complete
2025,net,Open Singles Net,2,player,Chris Seibert,,complete
2025,net,Open Singles Net,2,player,Rosen Rusev,,complete
2025,net,Open Singles Net,2,player,Lander Campo,,complete
2025,net,Open Singles Net,3,player,Chris Cleaver,,complete
2025,net,Open Singles Net,3,player,Grischa Tellenbach,,complete
2025,net,Open Singles Net,3,player,Michal Klimczak,,complete
2025,net,Open Singles Net,3,player,Lander Campo,,complete
2025,net,Open Singles Net,3,player,Petr Fuèík,,complete
2025,net,Open Singles Net,3,player,Santeri Karvinen,,complete
2025,net,Open Singles Net,3,player,Jim Hankins,,complete
2025,net,Open Singles Net,3,player,Nikolai Dimitrov,,complete
2025,net,Open Singles Net,3,player,Maximo Kulachenok,,complete
2025,net,Open Singles Net,4,player,Elle Shults,,complete
2025,net,Open Singles Net,4,player,Felix Ostwaldt,,complete
2025,net,Open Singles Net,4,player,Guillaume Degat,,complete
2025,net,Open Singles Net,4,player,Ivan Carballo,,complete
2025,net,Open Singles Net,4,player,Stìpán Klimek,,complete
2025,net,Open Singles Net,4,player,Jyri Ilama,,complete
2025,net,Open Singles Net,4,player,Tony Ritz,,complete
2025,net,Open Singles Net,4,player,Hristo Marev,,complete
2025,net,Open Singles Net,4,player,Joseba Fernández,,complete
2025,net,Open Singles Net,5,player,Edwin Veltman,,complete
2025,net,Open Singles Net,5,player,Santeri Karvinen,,complete
2025,net,Open Singles Net,5,player,Ivan Stanev,,complete
2025,net,Open Singles Net,5,player,Joseba Zubiaurre,,complete
2025,net,Open Singles Net,5,player,Petr Loskot,,complete
2025,net,Open Singles Net,5,player,Quentin Isackson,,complete
2025,net,Open Singles Net,5,player,Mark Hunsburger,,complete
2025,net,Open Singles Net,5,player,Dinko Dimitrov,,complete
2025,net,Open Singles Net,5,player,Álvaro García,,complete
2025,net,Open Singles Net,6,player,Patrick Weinberg,,complete
2025,net,Open Singles Net,6,player,Quentin Isackson,,complete
2025,net,Open Singles Net,6,player,Luis Lovera,,complete
2025,net,Open Singles Net,6,player,Josu Royuela,,complete
2025,net,Open Singles Net,6,player,Audrey Tumelin,,complete
2025,net,Open Singles Net,6,player,Noah Hunsberger,,complete
2025,net,Open Singles Net,6,player,Hristo Georgiev,,complete
2025,net,Open Singles Net,7,player,Dirk Janssens,,complete
2025,net,Open Singles Net,7,player,Zackary Bourdeau,,complete
2025,net,Open Singles Net,7,player,Garikoitz Casquero,,complete
2025,net,Open Singles Net,7,player,Piia Tantarimäki,,complete
2025,net,Open Singles Net,7,player,Brandy Seiler,,complete
2025,net,Open Singles Net,7,player,Zdravko Rafailov,,complete
2025,net,Open Singles Net,8,player,David Rambaud,,complete
2025,net,Open Singles Net,8,player,Oscar Loretto,,complete
2025,net,Open Singles Net,8,player,Olli Kärki,,complete
2025,net,Open Singles Net,8,player,Mihaela Tsvetkova,,complete
2025,net,Open Singles Net,9,player,David Chabannes,,complete
2025,net,Open Singles Net,9,player,Yassin Khateeb,,complete
2025,net,Open Singles Net,10,player,Audrey Tumelin,,complete
2025,net,Open Singles Net,10,player,Santeri Karvinen,,complete
2025,net,Open Singles Net,11,player,Dang Liu,,complete
2025,net,Open Singles Net,11,player,Mohamed Magri,,complete
2025,net,Open Singles Net,12,player,Boris Ollivier,,complete
2025,net,Open Singles Net,12,player,Jhon Orace Valera,,complete
2025,net,Open Singles Net,13,player,François Stierli,,complete
2025,net,Open Singles Net,13,player,Tuomas Karki,,complete
2025,net,Open Singles Net,14,player,Nassirou Ouro,,complete
2025,net,Open Singles Net,14,player,Mon Thike,,complete
2025,net,Open Singles Net,15,player,André Calado Coroado,,complete
2025,net,Open Singles Net,15,player,Benjamin Alston,,complete
2025,net,Open Singles Net,16,player,Germain Uzcategui,,complete
2025,net,Open Singles Net,17,player,Corbin Steele,,complete
2025,net,Open Singles Net,18,player,Pawel Rozek,,complete
2025,net,Open Singles Net,19,player,Antoine Desrochers Godin,,complete
2025,net,Open Singles Net,20,player,Allen PAULE,,complete
2025,net,Open Singles Net,21,player,Eduardo Frenzel Martinez,,complete
2025,net,Open Singles Net,22,player,Russell Arseneault,,complete
2025,net,Open Singles Net,23,player,Marcin Czech,,complete
2025,net,Open Singles Net,24,player,Tuomas Riisalo,,complete
2025,net,Open Singles Net,25,player,Angel Vivas,,complete
2025,net,Open Singles Net,26,player,Jakub Grabarczyk,,complete
2025,net,Open Singles Net,27,player,Gianni Almanza Amaya,,complete
2025,net,Open Singles Net,28,player,Juan Luca Abt,,complete
2025,net,Open Singles Net,29,player,Elle Shults,,complete
2025,net,Open Singles Net,30,player,Baptiste Martin,,complete
2025,net,Open Singles Net,31,player,David Rambaud,,complete
2025,net,Open Singles Net,32,player,Dang Liu,,complete
2025,net,Open Singles Net,33,player,Nassirou Ouro,,complete
2025,net,Open Singles Net,34,player,Sven Depoilly,,complete
2025,net,Open Singles Net,35,player,Julian Florez Cifuentes,,complete
2025,net,Open Singles Net,37,player,Xavier Lancret,,complete
2025,net,Open Singles Net,38,player,Boris Ollivier,,complete
2025,net,Open Singles Net,39,player,Mikko Lepisto,,complete
2025,net,Open Singles Net,40,player,Costa Depoilly,,complete
2025,net,Open Singles Net,41,player,Jesse Ross,,complete
2025,net,Open Singles Net,42,player,Olli Kärki,,complete
2025,net,Simple Open - Open Singles,1,player,François Depatie,,complete
2025,net,Simple Open - Open Singles,2,player,Luka Weyler,,complete
2025,net,Simple Open - Open Singles,3,player,Corbin Steele,,complete
2025,net,Simple Open - Open Singles,4,player,Zackary Bourdeau,,complete
2025,net,Simple Open - Open Singles,5,player,Marilyn Demuy,,complete
2025,net,Simple Open - Open Singles,6,player,Russell Arseneault,,complete
2025,net,Simple Open - Open Singles,7,player,Robert Lavigne,,complete
2025,net,Simple Open - Open Singles,8,player,Antoine Godin,,complete
2025,net,Simple Open - Open Singles,9,player,Maude Laudreville,,complete
