event_id,year,division_canon,division_category,placements_present,min_place,max_place,expected_span,missing_places,coverage_ratio,coverage_flag,rejected_rows,quarantine_rows,excluded_rows,evidence_total,gap_class,priority_score
1694170899,2023,Battles,freestyle,6,1,9,9,3,0.6666666666666666,partial,0,0,0,0,document_only,1.0
1694868513,2023,2-Square,sideline,6,1,9,9,3,0.6666666666666666,partial,0,0,0,0,document_only,1.0
910551956,1999,Open Women's Singles Net,net,7,1,10,10,3,0.7,partial,0,0,0,0,document_only,0.9
1035277529,2003,Open Singles Net,net,13,1,17,17,4,0.7647058823529411,mostly_complete,0,0,0,0,document_only,0.9
1182542776,2007,Open Doubles,freestyle,7,1,10,10,3,0.7,partial,0,0,0,0,document_only,0.9
1199106237,2008,Open Golf,golf,13,1,17,17,4,0.7647058823529411,mostly_complete,0,0,0,0,document_only,0.9
1344593549,2012,Open Circle Contest,freestyle,7,1,10,10,3,0.7,partial,0,0,0,0,document_only,0.9
1357206898,2013,Open Singles Routines,freestyle,13,1,17,17,4,0.7647058823529411,mostly_complete,0,0,0,0,document_only,0.9
1371821574,2013,Open Freestyle Challenge,freestyle,7,1,10,10,3,0.7,partial,0,0,0,0,document_only,0.9
1382778441,2013,Request Contest,freestyle,7,1,10,10,3,0.7,partial,0,0,0,0,document_only,0.9
1401113913,2014,Open Doubles Net,net,7,1,10,10,3,0.7,partial,0,0,0,0,document_only,0.9
1449259560,2016,Footbag Golf,golf,13,1,17,17,4,0.7647058823529411,mostly_complete,0,0,0,0,document_only,0.9
1499025778,2017,Request Contest,freestyle,7,1,10,10,3,0.7,partial,0,0,0,0,document_only,0.9
984694623,2001,Open Sick 10,freestyle,3,1,5,5,2,0.6,partial,0,0,0,0,document_only,0.8
1294262550,2011,Open Routines,freestyle,9,1,12,12,3,0.75,mostly_complete,0,0,0,0,document_only,0.8
1425372477,2015,Women's Singles Net,net,3,1,5,5,2,0.6,partial,0,0,0,0,document_only,0.8
1471686537,2017,Masters Doubles Net,net,8,1,11,11,3,0.7272727272727273,partial,0,0,0,0,document_only,0.8
1678957450,2023,Request Contest,freestyle,8,1,11,11,3,0.7272727272727273,partial,0,0,0,0,document_only,0.8
1035277529,2003,Intermediate Doubles Net,net,10,1,13,13,3,0.7692307692307693,mostly_complete,0,0,0,0,document_only,0.7
1137942486,2006,Open Doubles Net,net,19,1,23,23,4,0.8260869565217391,mostly_complete,0,0,0,0,document_only,0.7
1297811412,2011,Open Singles Freestyle,freestyle,10,1,13,13,3,0.7692307692307693,mostly_complete,0,0,0,0,document_only,0.7
1361207019,2013,Open 2-Square,sideline,10,1,13,13,3,0.7692307692307693,mostly_complete,0,0,0,0,document_only,0.7
915561090,1999,Open Singles Net,net,39,1,44,44,5,0.8863636363636364,mostly_complete,0,0,0,0,document_only,0.6
931840905,1999,Open Overall,net,5,1,7,7,2,0.7142857142857143,partial,0,0,0,0,document_only,0.6
980969461,2001,Intermediate Singles Net,net,11,1,14,14,3,0.7857142857142857,mostly_complete,0,0,0,0,document_only,0.6
1163784775,2007,Open Doubles Net,net,22,1,26,26,4,0.8461538461538461,mostly_complete,0,0,0,0,document_only,0.6
1189345008,2007,Freestyle Routines,freestyle,12,1,15,15,3,0.8,mostly_complete,0,0,0,0,document_only,0.6
1194517448,2008,Open Women's Singles Freestyle,freestyle,12,1,15,15,3,0.8,mostly_complete,0,0,0,0,document_only,0.6
1248864536,2009,Open Golf,golf,12,1,15,15,3,0.8,mostly_complete,0,0,0,0,document_only,0.6
1371821574,2013,Open Circle Contest,freestyle,5,1,7,7,2,0.7142857142857143,partial,0,0,0,0,document_only,0.6
1466942562,2016,Open Singles Golf,golf,12,1,15,15,3,0.8,mostly_complete,0,0,0,0,document_only,0.6
1706036811,2024,Sick 3,freestyle,12,1,15,15,3,0.8,mostly_complete,0,0,0,0,document_only,0.6
859923755,1997,Intermediate Doubles,net,6,1,8,8,2,0.75,mostly_complete,0,0,0,0,document_only,0.5
1049457912,2003,Intermediate,freestyle,14,1,17,17,3,0.8235294117647058,mostly_complete,0,0,0,0,document_only,0.5
1080138513,2004,Dimwalk>Double Legover>Smudge,net,6,1,8,8,2,0.75,mostly_complete,0,0,0,0,document_only,0.5
1090569022,2004,Double Net,net,6,1,8,8,2,0.75,mostly_complete,0,0,0,0,document_only,0.5
1158263300,2006,Open Freestyle,freestyle,17,1,20,20,3,0.85,mostly_complete,0,0,0,0,document_only,0.5
877061793,1998,Open Singles Net 16 Entrants,net,7,1,9,9,2,0.7777777777777778,mostly_complete,0,0,0,0,document_only,0.4
941418343,2000,Women's Singles Net,net,7,1,9,9,2,0.7777777777777778,mostly_complete,0,0,0,0,document_only,0.4
952906680,2000,Open - Simple,freestyle,7,1,9,9,2,0.7777777777777778,mostly_complete,0,0,0,0,document_only,0.4
988434364,2001,Open Singles Net,net,7,1,9,9,2,0.7777777777777778,mostly_complete,0,0,0,0,document_only,0.4
1011291051,2002,Open Doubles,net,9,1,11,11,2,0.8181818181818182,mostly_complete,0,0,0,0,document_only,0.4
1069929277,2004,Women Open Singles Net,net,8,1,10,10,2,0.8,mostly_complete,0,0,0,0,document_only,0.4
1081766954,2004,Open Singles Freestyle,freestyle,7,1,9,9,2,0.7777777777777778,mostly_complete,0,0,0,0,document_only,0.4
1103724325,2005,Doubles Net,net,7,1,9,9,2,0.7777777777777778,mostly_complete,0,0,0,0,document_only,0.4
1181021804,2007,Open Shred30,freestyle,8,1,10,10,2,0.8,mostly_complete,0,0,0,0,document_only,0.4
1183654670,2007,Open Shred:30,freestyle,8,1,10,10,2,0.8,mostly_complete,0,0,0,0,document_only,0.4
1183654670,2007,Open Singles Routines,freestyle,8,1,10,10,2,0.8,mostly_complete,0,0,0,0,document_only,0.4
1290861524,2011,Golf,golf,8,1,10,10,2,0.8,mostly_complete,0,0,0,0,document_only,0.4
1293877917,2011,Open Singles Net,net,32,1,36,36,4,0.8888888888888888,mostly_complete,0,0,0,0,document_only,0.4
1336988107,2012,Sick 3,freestyle,7,1,9,9,2,0.7777777777777778,mostly_complete,0,0,0,0,document_only,0.4
1354752474,2013,Open Shred:30,freestyle,7,1,9,9,2,0.7777777777777778,mostly_complete,0,0,0,0,document_only,0.4
1668541701,2022,Open Sick 3-Trick,freestyle,7,1,9,9,2,0.7777777777777778,mostly_complete,0,0,0,0,document_only,0.4
1694170899,2023,Freestyle Overall,freestyle,9,1,11,11,2,0.8181818181818182,mostly_complete,0,0,0,0,document_only,0.4
1694170899,2023,Request Contest,freestyle,9,1,11,11,2,0.8181818181818182,mostly_complete,0,0,0,0,document_only,0.4
1741024635,2025,Battles,freestyle,7,1,9,9,2,0.7777777777777778,mostly_complete,0,0,0,0,document_only,0.4
857874500,1997,Novice Doubles-Saturday,net,2,1,3,3,1,0.6666666666666666,partial,0,0,0,0,document_only,0.3
892446131,1998,Intermediate,golf,2,1,3,3,1,0.6666666666666666,partial,0,0,0,0,document_only,0.3
901349509,1998,Juggle Golf,golf,2,1,3,3,1,0.6666666666666666,partial,0,0,0,0,document_only,0.3
941418343,2000,Open Singles Net,net,43,1,47,47,4,0.9148936170212766,mostly_complete,0,0,0,0,document_only,0.3
980969461,2001,Open Doubles Net,net,23,1,26,26,3,0.8846153846153846,mostly_complete,0,0,0,0,document_only,0.3
990905420,2001,Open Singles,golf,13,1,15,15,2,0.8666666666666667,mostly_complete,0,0,0,0,document_only,0.3
992517335,2001,Sick 5,freestyle,10,1,12,12,2,0.8333333333333334,mostly_complete,0,0,0,0,document_only,0.3
1011291051,2002,Open Singles,net,13,1,15,15,2,0.8666666666666667,mostly_complete,0,0,0,0,document_only,0.3
1011556608,2002,Ladies Freestyle,freestyle,2,1,3,3,1,0.6666666666666666,partial,0,0,0,0,document_only,0.3
1013283071,2002,Open Singles Net,net,25,1,28,28,3,0.8928571428571429,mostly_complete,0,0,0,0,document_only,0.3
1030830356,2002,Open Shred,freestyle,10,1,12,12,2,0.8333333333333334,mostly_complete,0,0,0,0,document_only,0.3
1042821772,2003,Open Singles Freestyle Women 15 Player,freestyle,11,1,13,13,2,0.8461538461538461,mostly_complete,0,0,0,0,document_only,0.3
1046985067,2003,Intermediate Big3,freestyle,2,1,3,3,1,0.6666666666666666,partial,0,0,0,0,document_only,0.3
1058378281,2003,Freestyle ? Open,freestyle,10,1,12,12,2,0.8333333333333334,mostly_complete,0,0,0,0,document_only,0.3
1069791565,2004,Women's Freestyle - Routines,freestyle,2,1,3,3,1,0.6666666666666666,partial,0,0,0,0,document_only,0.3
1079605499,2004,Shred30,freestyle,2,2,4,3,1,0.6666666666666666,partial,0,0,0,0,document_only,0.3
