player_id,name_raw,name_clean,person_id,person_canon,issue_type,appearances,evidence,suggested_action
,Dorota Wojtasiuk,Dorota Wojtasiuk,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Emily Efford,Emily Efford,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Evanne LaMarche (Phoenix,Evanne LaMarche (Phoenix,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Felix Zenger,Felix Zenger,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Florian Goetze,Florian Goetze,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Frank Diaz,Frank Diaz,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Gregor Morel,Gregor Morel,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Hakan Hellberg,Hakan Hellberg,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Hanna,Hanna,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Hannah Whiteman,Hannah Whiteman,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Honza Weber,Honza Weber,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Ian Pritchard,Ian Pritchard,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,JF,JF,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Jakob,Jakob,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Jakub Grabarczyk,Jakub Grabarczyk,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Jamie H. Lepley,Jamie H. Lepley,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Jan Zimmerman,Jan Zimmerman,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Janis Thal,Janis Thal,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Jean-Philippe Rochefort,Jean-Philippe Rochefort,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Jeremy,Jeremy,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Jim Caveney,Jim Caveney,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Jind Smola (Czech Republic),Jind Smola (Czech Republic),,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,John,John,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Katharina Probst,Katharina Probst,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Kolo,Kolo,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Krystof Malér (Czech Republic),Krystof Malér (Czech Republic),,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Laurenz Prokopp,Laurenz Prokopp,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Leuch,Leuch,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Lotus,Lotus,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Luka,Luka,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Maciek Niczyporuk (Poland),Maciek Niczyporuk (Poland),,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Mariusz Wilk,Mariusz Wilk,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Mathieu,Mathieu,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Matt Churney,Matt Churney,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Matt Kemmer,Matt Kemmer,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Maude Laudreville,Maude Laudreville,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Małgorzata Olędzka,Małgorzata Olędzka,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Mał�gorzata Olędzka,Mał�gorzata Olędzka,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Nina,Nina,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Nis Petersen,Nis Petersen,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Olli Savoilainen,Olli Savoilainen,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
