event_id,event_name,year,issue_class,severity,note,n_placements,n_divisions,has_dup_places,has_round_kw,place_reset_count,has_mirror_manual,results_raw_len
1138601883,Santa Cruz Invitational,2006,MERGED_DIVISION_RESULTS,moderate,"division results merged (""Shred 30"", ""Sick 1"", ""Sick 3"", 9 dup pairs)",19,3,1,0,9,1,1008
1143155263,U. S. Open Footbag Championships,2006,MINOR_TIES_MERGED,moderate,"minor: 3 duplicate place(s) in ""Open Sick 3",75,17,1,0,10,1,2509
1148241486,2006 Steel City Shred Off,2006,MINOR_TIES_MERGED,minor,"minor: 2 duplicate place(s) in ""Open Rippin' Run",15,5,1,0,7,1,896
1148374547,Championnats de France 2006,2006,MERGED_DIVISION_RESULTS,severe,"division results merged (""Double Net"", ""Freestyle"", ""Single Net"", 6 dup pairs)",45,4,1,1,3,1,1001
1149763452,8e OPEN de France de Footbag,2006,MERGED_DIVISION_RESULTS,moderate,"division results merged (""Open Singles Freestyle"", ""Sick 3"", 6 dup pairs)",143,15,1,0,16,1,5448
1158263300,Zocha Jam 2006,2006,MERGED_DIVISION_RESULTS,moderate,"division results merged (""Open Freestyle"", ""Women Freestyle"", 5 dup pairs)",54,9,1,0,11,1,1523
1160579826,CommALaMaison Contest 3,2006,MINOR_TIES_MERGED,minor,"minor: 1 duplicate place(s) in ""Mini Net",28,1,1,1,5,1,683
1161871029,Finnish Footbag Championships 2006,2006,MERGED_DIVISION_RESULTS,moderate,"division results merged (""Circle Contest"", ""Open Freestyle"", 3 dup pairs)",62,7,1,0,7,1,1745
1161888703,Cornell Footbag Jam,2006,MERGED_DIVISION_RESULTS,minor,"division results merged (""[U]Open Circle Competition[/U]"", ""[U]Sick One[/U]"", 5 dup pairs)",11,2,1,0,5,1,380
1163784775,2007 IFPA WORLD FOOTBAG CHAMPIONSHIPS,2007,POOL_FINALS_MERGED,severe,"pool+finals results merged (9 divisions, 26 dup pairs, 171 affected rows)",269,19,1,1,19,1,8962
1172931308,Montreal Spring Jam 2,2007,MINOR_TIES_MERGED,minor,"minor: 3 duplicate place(s) in ""Intermediate Circle Contest",16,4,1,0,0,1,686
1176650845,3rd New Jersey Spike and Shred,2007,MERGED_DIVISION_RESULTS,minor,"division results merged (""Freestyle Routines Finals"", 4 dup pairs)",27,4,1,0,3,1,927
1176844933,Texas Statewide Footbag Tournament 2007,2007,MINOR_TIES_MERGED,minor,"minor: 2 duplicate place(s) in ""Open Golf",10,2,1,0,3,1,485
1177512537,Championnats de France de Footbag,2007,MERGED_DIVISION_RESULTS,moderate,"division results merged (""Singles Freestyle"", 5 dup pairs)",38,6,1,0,6,1,1363
1179679872,German Footbag Championships 2007,2007,MERGED_DIVISION_RESULTS,moderate,"division results merged (""Footbag Net Doubles"", ""Footbag Net Single"", 8 dup pairs)",41,4,1,0,6,1,1537
1182542776,Funtastik Summer Classic,2007,MERGED_UNLABELLED_DIVISIONS,severe,"Open/Intermediate results merged under unlabelled divisions (""Intermediate"", ""Open Doubles"", ""Open S",66,13,1,0,11,1,1416
1183729267,9e Open de France de Footbag,2007,POOL_FINALS_MERGED,severe,"pool+finals results merged (3 divisions, 14 dup pairs, 50 affected rows)",148,14,1,0,16,1,4983
